,0888cc58-7f72-4448-9375-c07e40b5b269,0e3ebbc4-2f1a-48ca-b56c-516afe3297c2,1360b55e-29fa-41ad-ac96-e7c529a6849e,145f036d-6dce-432d-b966-e9dfef2fe42e,14ef1088-3bbd-46a7-b945-a0842055eee0,16de79fb-d97d-40ee-925d-e890131446b1,219d6b20-df3d-48b3-b222-6874047bd793,24e350d7-8cf2-4bf3-9c71-8a24a6c15fb2,27f417d4-dda0-490a-a300-dcddb5563eaf,2cbc745b-2abc-48b6-9838-7ae25ba1472a,2ebf99e4-0d99-4f57-9a9e-6093f2c8ed6d,330fed1d-8a7b-4483-8413-1463a840096f,342d0342-194a-47c6-916b-bfcd2067e23d,36187163-3710-44a6-bcb5-7cbb16f016bc,3a1454c4-0dd8-4433-8ce7-d775d824ea0e,3bc1ee26-66dc-486d-966d-673ffbafb6e9,3c277ebd-a7a3-46e6-a468-50bf96173b53,3cccb497-b82f-4a56-b205-fbf2039f33cd,415aaa73-1c8b-456b-9288-83975231ff27,475f1941-2bde-4eba-816c-e9da24bdbb4c,4efff68b-2ff7-4076-83ea-5e32e29a8725,53fe0c95-44d0-4ab8-82c7-660ca1b33825,5a30d2bd-9cab-44ef-9071-0b34d386a9c0,5bdeef52-fafe-4416-8df4-37f5790aead8,5da4b3aa-8df9-458a-969b-b5e290ab39cf,5f3f2338-c62f-4db1-95c0-23d8748d4a90,67df23bb-863d-4864-807d-15fa5912252a,6b5b668c-db41-4cc0-ae24-eb793c6eeea8,6b5c5237-5e13-483f-b46b-f05cc7763b1f,74649c2f-03d6-4e5b-add2-ee9efb7eec05,809f50ee-cba5-4a90-ad28-df38cc6b8ec7,884600f4-73bf-41eb-997e-90bd412cf86e,8b0438ab-495b-4737-ad45-0529818d312e,93e583ea-e4b9-42a8-80a1-c448452cc479,9ee608a6-975b-4c69-b558-f37b56edd657,ab12c5d6-f9b2-492d-9a1a-a237c59eb7af,adc59475-909e-4799-b31a-3dc912055ebb,ba59b815-c886-4950-b752-c66089e24256,c0770fc6-0b17-4a9d-87a4-1d0e80efcb9e,c15935e6-682a-44f2-8513-3683196e249e,c3ec475e-8010-486e-a4e3-af7c083613a6,c83428a3-08d8-4665-929a-c3ef3f18c6f1,cbb9943b-cf5c-4dfe-8ed3-bfb0b6dc1dd9,cbeadf0f-75e9-4856-a2f8-5a7406ea9318,cc5dbfd2-e659-4b9f-ab3b-04d5b5cf3540,ccef2232-6eff-447b-bd93-92979ac19e26,cd6c9a82-aedb-4651-9fdb-b5ac4747b241,e99cf2f9-4c86-4337-945a-6b0e46e81143,ea52d9c9-6bd5-4538-b34f-2fdf152ad88e,ef96abb0-da56-4dc3-9d8a-45f4ffb565e9,ffea52b8-a88d-4f11-988d-ffa3fa386f3c
USH2A,64.77704813853731,45.277286448127946,77.10951649631944,154.6485198326537,40.24911295874596,47.17666684319229,58.94402372504369,57.95869300428957,50.36080072022454,61.461367367473386,39.66610178467405,43.682412752210986,61.938992744796906,47.85807339935391,31.381771964200603,53.051845575385265,43.26367632261823,73.78197320341047,45.377588306942755,106.12407986019171,40.17571360482974,38.801938251337184,51.21612031986443,32.34973256368162,66.39246941693587,58.62638351956787,26.43785415453053,35.3727161997564,48.86670550230366,71.50161520944765,38.22718847640735,54.04654980670444,40.55245458878356,49.01768786739395,66.26489434941482,63.834295397977016,27.926388815336548,80.20192765979982,57.26462956098078,34.46194990202828,71.628554784727,34.49923211354128,51.507599428056984,45.97744002541969,29.79653656728274,46.36212466239475,55.496319440766825,47.169464597786366,65.58052216279192,72.57670920934173,42.65206799766986
MUC17,55.91345546430828,40.89183687793921,48.253386677897105,69.05369551484523,38.25085983013968,62.31382045342879,60.712711448024145,49.68919772583702,51.07341896539622,91.14381975152664,43.71587000772092,52.607777075875624,35.57205025619429,45.81385554853654,37.013406331157434,34.851477504035934,50.33824664841721,63.606443461781424,38.764301256404856,92.44304064013477,41.79406190777006,48.19512879904541,42.14346880044922,42.23710254790482,70.55941601740717,55.266442057977116,65.23871692286096,33.21337825507124,58.77216256053906,94.56959359865235,48.050817716010386,71.01495051589808,32.8879764160876,60.34561662104303,54.80080016845652,73.26454692215906,31.377833929950164,83.056854074542,74.3387379799256,42.97992559837159,30.890292693198568,36.85435530287078,63.02533866778971,68.80290587492104,36.96967782691093,50.47413490559416,36.57541938653752,46.055520460447816,32.31943567066751,97.91871973046958,48.19660279357058
TAF1L,42.63787001287001,44.368404118404115,71.86036036036036,144.7041505791506,50.69449806949807,77.54971042471043,68.20238095238095,47.73793436293436,48.420366795366796,91.19530244530245,35.5207528957529,68.01737451737452,97.04520592020592,53.986647361647364,32.93194980694981,31.715250965250966,64.04440154440154,59.61920849420849,36.7752574002574,78.0408622908623,52.13980051480051,57.707368082368085,61.26367438867439,49.836550836550835,92.52155727155727,51.80550193050193,42.05228442728443,43.31740669240669,45.93902831402831,110.73970398970398,39.13465250965251,68.56306306306307,47.0770592020592,71.47554697554698,41.96122908622909,90.81451093951094,41.0712676962677,100.07947232947232,87.11486486486487,39.52493564993565,37.45672458172458,51.83252895752896,72.27879665379665,54.157335907335906,48.27686615186615,65.23825611325611,48.84234234234234,47.59491634491634,65.03056628056628,79.55871943371943,56.48246460746461
SACS,37.12956344140924,50.956471789634925,47.82014296655604,67.31995149348991,40.91070972683176,64.52367883584375,49.43962215981619,39.1886009701302,46.62701046719428,47.847778912432986,28.070525912688282,56.9803420985448,34.7627648710748,29.778401838141434,26.137094715343377,27.204557058973705,54.92787847842737,37.34363032933367,31.409177942302783,55.9307505744192,43.66026295634414,47.66064590247638,50.45717385754404,52.30763339290273,72.34254531529231,45.14443451621138,39.321419453663516,29.38939239213684,40.106203727342354,77.55291039060505,51.20768445238703,49.82888690324228,27.980022976767934,60.51085014041358,49.52948685218279,73.82084503446515,46.012956344140925,75.45219555782487,67.00823334184325,38.22644881286699,32.22868266530508,44.8354608118458,56.10920347204493,52.65330610160837,38.61392647434261,50.78318866479449,38.37567015573143,50.177495532295126,37.06388817972938,67.57390860352311,46.158092928261425
LAMA2,36.75767634854772,39.52313278008299,57.9908713692946,74.29211618257261,28.05746887966805,65.28817427385893,40.554253112033194,40.34253112033195,52.2905601659751,50.11452282157676,31.73485477178423,35.24906639004149,21.460062240663902,31.4847510373444,28.21908713692946,28.078526970954357,37.40632780082988,51.003526970954354,33.17385892116182,61.97002074688797,36.379045643153525,54.00684647302904,38.34253112033195,41.88558091286307,87.4856846473029,49.23744813278008,30.96576763485477,38.97168049792531,41.15778008298755,105.83682572614107,44.90394190871369,56.6646265560166,40.08547717842324,63.044190871369295,37.77323651452282,81.72728215767634,27.38278008298755,84.26535269709544,58.79948132780083,33.8399377593361,36.46649377593361,46.852074688796684,60.70280082987552,52.644087136929464,24.43350622406639,57.14626556016597,59.00767634854772,52.18485477178423,21.84948132780083,82.54585062240663,52.53329875518672
ERBB4,41.05117007251154,42.137442320369146,53.2866677653263,79.57292353328938,29.27010547132498,42.46498022412656,37.183586025049436,35.917682926829265,33.41034937376401,50.62969676994067,29.62475280158207,36.880767963085034,26.2139090309822,32.65746539222149,27.815837178642056,33.09261700725116,40.19874752801582,48.452043506921555,28.79812129202373,60.29358932102834,29.693226763348715,35.02653263019117,35.713826631509555,27.187129202373104,56.86008569545155,44.61486486486486,25.004284772577456,27.16817732366513,45.96366183256427,60.11997363216875,29.685234014502306,44.6977587343441,27.138348714568227,44.0640243902439,44.171061305207644,51.170731707317074,25.148566249176007,58.86412326961108,46.70888266315096,36.36577125906394,33.42427488464074,31.684657218193802,43.46794660514173,37.07663150955834,26.59352340145023,38.85538892551088,27.6225280158207,36.73360250494397,25.118243243243242,50.54194133157548,38.6411502966381
TG,46.000710059171595,37.884970414201184,56.29550295857988,108.34284023668638,30.723076923076924,47.75704142011834,77.80461538461539,61.855621301775145,43.96473372781065,60.00355029585799,37.102130177514795,43.203668639053255,67.4319526627219,46.091952662721894,25.92532544378698,51.72994082840237,42.74698224852071,50.27254437869823,37.10792899408284,98.72082840236686,38.80710059171598,38.0207100591716,47.766508875739646,75.02934911242603,66.16497041420118,44.57751479289941,27.67869822485207,30.721656804733726,66.47349112426035,101.70840236686391,49.915976331360945,62.327218934911244,33.10248520710059,54.22520710059172,47.4796449704142,68.0196449704142,33.291005917159765,75.18840236686391,81.24378698224852,32.1610650887574,26.39266272189349,31.890414201183432,59.882130177514796,55.63514792899408,30.211124260355028,48.945325443786984,30.358461538461537,44.18224852071006,28.64662721893491,69.49952662721894,43.75976331360947
AKAP9,87.23189800336782,52.78862962072007,72.08275198460429,52.38409109133189,54.54999599069842,78.5896880763371,54.94419052201106,63.167508619998394,49.660251784139206,104.2642129740999,60.17632908347366,72.47887098067517,45.44687675406944,57.54285943388662,51.847405981877955,49.715499959906985,70.73354181701548,87.33317296127015,54.1112180258199,97.34736588886216,53.01178734664421,64.40413759923021,64.62112100072167,68.25443027824554,79.72159409830807,82.35105444631546,117.03271590089007,48.20351214818378,81.15740518001765,91.86320263010184,68.28433966802983,65.7380322347847,51.934006895998714,81.36380402533878,79.03568278405902,68.17079624729372,46.25523213856146,77.09028947157405,69.0946195172801,54.70106647422019,42.95421377596023,59.67171838665704,60.60861197979312,62.87138160532435,51.01603720631866,53.60420174805549,49.019324833613986,70.72640526020368,48.63563467244006,102.64894555368454,69.34504049394596
MYH4,54.045711436170215,53.787234042553195,52.714926861702125,140.3356050531915,42.06515957446808,62.293550531914896,61.62849069148936,51.19813829787234,58.69115691489362,49.94797207446808,47.88148271276596,55.905751329787236,37.925698138297875,44.609042553191486,24.25880984042553,48.0390625,33.65990691489362,66.89727393617021,41.2250664893617,100.10704787234043,27.42087765957447,49.326961436170215,48.2250664893617,43.70445478723404,87.80402260638297,64.40757978723404,29.1860039893617,36.3139960106383,63.622672872340424,102.19365026595744,31.923869680851062,59.69315159574468,27.75249335106383,60.137300531914896,61.43234707446808,95.82795877659575,33.13015292553192,95.55834441489361,64.40907579787235,31.996343085106382,32.525265957446805,45.687998670212764,65.74501329787235,50.7608045212766,37.99152260638298,59.509640957446805,38.847573138297875,49.69182180851064,37.118184840425535,69.92952127659575,40.0126329787234
DNAH9,38.75592727272727,42.235490909090906,39.63338181818182,94.2613090909091,29.795127272727274,43.567418181818184,45.731781818181815,38.592,40.741454545454545,36.15505454545455,38.16698181818182,39.913745454545456,28.183054545454546,33.428,20.33869090909091,35.48632727272727,24.9848,49.643418181818184,31.119781818181817,71.7088,27.583709090909093,37.6312,37.674763636363636,32.623127272727274,62.24450909090909,43.61941818181818,21.620072727272728,28.81978181818182,45.972581818181816,74.27338181818182,22.624872727272727,43.917745454545454,21.812072727272728,43.19309090909091,45.55287272727273,59.53956363636364,26.299272727272726,59.127345454545456,46.22458181818182,30.995854545454545,25.075272727272726,32.173745454545454,48.06043636363636,36.9624,29.749963636363635,42.408145454545455,29.355781818181818,36.618618181818185,27.649236363636362,50.63730909090909,30.924363636363637
