,f04359f2-5f54-4fbd-8c2b-3630e5f0bbeb,ed505386-a72e-4f8d-8eb9-f3332568c10e,4ee2c93b-660f-416f-a352-c8e9ab77fafd,51814a38-7a25-4a0e-8836-8874b783468f,45a10839-4814-4c45-9b47-7450f91bec80,0cccbfdf-c4b5-4080-8824-8a2c76809def,25e1cc1f-8df2-4a45-939a-48767cec2c19,0ceab198-b54c-4a2f-9482-574eaaaae3dc,54e09481-75b7-4677-a361-1b9770517c2a,0d7669a0-08c3-486d-872a-56c8abcc59f4,15094fa4-17d8-4119-aa85-b19368630e3b,dc9aafba-f824-4a6a-8bc9-541eced8f4d8,c3afd687-0301-4c93-97a3-1a340b83c8da,5c460ee2-6a8d-4289-a670-b03ce1236f04,4e491aef-ff86-4c5a-9542-00a23848f7d5,8a6a9b07-09fd-44b6-acd7-a586fd215005,2d93b702-ba67-4159-b837-5f01a19b8eae,9405f407-0e2b-4b06-ba09-21b90e987116,c8c36597-6777-426f-bef7-97e2aff61709,cb1f4794-571b-4151-9599-822d1d1e00f5,ad2f45c4-23c6-406c-ba40-915e819207b3,11f49d45-cc2b-4e8c-aa26-6b62f906f0e0,31e81dbf-b2da-4144-9fdf-49f0fdddf6ba,7cf9abc1-b4c5-4432-9176-942353624ba7,46a00667-ac19-4e10-9a9a-e1d6df3efd12,fb9b1605-6148-438f-9d5b-e8b976e99fd5,69a73fa6-e86b-48df-9aec-91c8f838c783,5adbc794-7ea4-481e-9b50-fb2ef89e4021,65273722-e0aa-4fbd-8b9f-7797a41eb682,b2e1e5fd-3b5a-4b5f-bb7c-14cc5299bb27,d870e477-fd50-4266-957d-9a3e12ac9799,95fe4784-0098-4ca2-be7a-4198722a7d06,074fc242-d5ac-478e-bf84-9d6e782002c5,9940c287-f561-4ec0-ac79-3f6846c99dc0,fba68630-e659-4b04-8741-032dbbce8c05,e67069c9-26b7-4b0b-9300-c006cd969159,d4d1164b-526b-4154-97a5-b916937d19d7,04fafe64-6e6e-46b2-b94e-3d1f0adecc6a,512c7c41-81ce-43a3-8d52-3950b7bfc8c1,8a0e356f-12c9-45c4-b77e-a8a3748e5e85,58d6767d-1f67-441b-b4e1-13c11856f3e9,52db7beb-dabd-4f8e-b3c4-aa24823afa70,244ee6f8-7582-4df6-8a1c-a7720f82c9ad,472a68e0-bd02-4a3d-9385-09b1a42c1aae,887f6123-0b96-42a4-a6fd-6857ba2dc51b,5d4e749e-ca04-455f-b866-bb9b749eb772,fb439645-d31a-49e0-b57a-9df33a05265d,171740ce-b978-407d-9c42-b24bd8be4f42
IDH1,65.90596137699413,54.331234256926955,47.85978169605374,87.03946263643996,75.34676742233417,58.90848026868178,46.99706129303107,58.77875734676742,57.0088161209068,56.50335852225021,64.67926112510496,60.85810243492863,75.25062972292191,61.342149454240136,55.819059613769944,61.43576826196473,77.50797649034425,62.63182199832074,63.28295549958018,66.11628883291351,69.55373635600336,75.27707808564232,61.11041141897565,70.00209907640638,83.35894206549118,62.936607892527284,70.35054575986565,80.3303946263644,57.0848026868178,52.706129303106636,62.20654911838791,53.01469353484467,81.85768261964735,44.40344248530646,94.78001679261125,71.32031905961377,53.11418975650714,59.56759026028548,65.0600335852225,49.491603694374476,50.9151973131822,78.03064651553316,81.83249370277078,78.3127623845508,55.126784214945424,58.23299748110831,72.63476070528968,73.45382031905962
UNC79,119.4552380952381,91.16880952380953,84.15738095238095,111.90392857142857,119.76892857142857,87.92071428571428,71.44583333333334,100.92440476190477,92.695,173.37559523809523,81.6175,102.39047619047619,129.78464285714287,92.78142857142858,101.32440476190476,132.19095238095238,118.88535714285715,91.00142857142858,98.39928571428571,115.00630952380952,110.83940476190476,105.65845238095238,103.68857142857142,117.03797619047619,121.42964285714285,115.13654761904762,88.9775,128.0622619047619,101.79380952380953,82.49392857142857,100.38440476190476,71.27202380952382,125.84559523809524,73.35440476190476,150.77547619047618,108.53,90.79166666666667,93.79321428571428,92.27785714285714,71.4802380952381,69.48559523809524,122.01154761904762,117.66166666666666,126.46976190476191,82.7375,100.1770238095238,104.22357142857143,112.61988095238095
TAF1L,253.17374517374517,196.05324967824967,229.0990990990991,355.90749678249676,333.9438545688546,195.57802445302445,165.10408622908622,224.62146074646074,233.3000321750322,310.0464929214929,206.6845238095238,253.39671814671814,281.87258687258685,258.01705276705275,219.7855534105534,218.8077541827542,316.7944015444015,195.1735842985843,224.25546975546976,274.4604247104247,296.3848133848134,234.25466537966537,169.79697554697555,249.8069498069498,247.37258687258688,384.28651866151864,333.87982625482624,320.92261904761904,274.7039897039897,213.62612612612614,212.1509009009009,160.74131274131275,325.782175032175,167.54311454311454,336.6732625482625,270.5109395109395,175.85070785070786,228.24099099099098,193.88497425997426,158.15460102960103,151.85682110682112,330.38416988416986,317.23037323037323,278.7638352638353,175.8692084942085,200.89671814671814,279.49083011583014,296.96074646074646
PRUNE2,119.32104259376986,89.12174189446917,99.1716465352829,128.7413382072473,147.6002860775588,74.9032104259377,61.793865225683405,102.71686268277178,86.53329624920534,124.56079148124603,76.01128417037508,99.25325810553083,131.131993006993,53.172997457088364,97.6832485696122,101.96280991735537,113.85886840432295,49.179434202161474,99.81373172282264,118.09249841068024,102.34265734265735,171.71265098537825,76.62015257469803,102.81087094723458,124.8703909726637,148.45915448188177,153.11514621741895,119.38684043229497,122.58034011443102,82.69071837253655,96.27725683407502,62.932215511760965,132.72004132231405,75.25063572790846,123.2603305785124,100.12778130959948,66.55348061029879,92.49531150667514,74.00397329942784,62.01168150031786,59.908614113159565,120.22027972027972,115.5437062937063,124.51017164653528,66.19588366179275,72.3088048315321,104.19508900190718,109.35457724094088
NALCN,86.73393957172192,65.60750953358756,58.75872689938399,77.40378410090936,84.60017600469345,55.72249926664711,72.59724259313582,89.69565855089469,63.17395130536814,94.16867116456439,72.76958052214725,63.5155470812555,109.6726312701672,58.116016427104725,73.54224112643004,75.0530947491933,84.7405397477266,80.36608976239367,70.02434731592842,82.84291581108829,76.54957465532414,76.21633910237607,90.59504253446758,81.03476092695806,86.83734232912877,81.26708712232326,66.46377236726313,51.97506600176005,73.96509240246407,59.231886183631566,70.4254913464359,66.42343795834556,94.80170137870343,59.969199178644764,99.75462012320328,77.57656204165444,77.44294514520388,44.314755060134935,80.50440011733646,64.64755060134937,61.90393077148724,88.04385450278674,109.43385156937518,94.24420651217366,73.23335288941038,69.4197711938985,74.50762687004986,83.22939278380757
MALAT1,0.49242076251722555,0.297427652733119,0.4609554432705558,0.17501148369315572,0.541341295360588,0.2119889756545705,0.08876894809370693,0.22347266881028938,0.188562241616904,0.20153881488286632,0.3589802480477722,0.18477262287551677,0.3825218190169959,0.18557648139641708,0.2303628847037207,0.2551676619200735,0.2303628847037207,0.27836472209462565,0.09807073954983923,0.2869774919614148,0.1126550298576022,0.371038125861277,0.18511713367018834,0.3524345429490124,0.29673863114377586,0.4193844740468535,1.2630914101975195,0.11598530087276068,0.2899632521819017,0.09278824069820854,0.24253559944878272,0.2203720716582453,0.23197060174552137,0.20842903077629765,0.5378961874138724,0.1801791456132292,0.3015617822691778,0.13895268718419843,0.2551676619200735,0.20877354157096922,0.05799265043638034,0.19510794671566375,0.04639412034910427,0.4958658704639412,0.24747358750574186,0.31316031235645386,0.13918236104731282,0.09898943500229673
FREM2,65.0295581829496,49.07517112632234,44.23186060983198,69.8537025513379,62.28338518979465,41.03111387678905,54.485749844430615,55.13447417548227,61.85967641568139,82.42825140012445,54.62594897324207,62.0863721219664,79.10273802115744,61.16869943995022,52.880771624144366,53.208276291225886,77.36639701306783,60.37498444306161,67.0019912881145,60.37454884878656,68.75345364032358,53.87685127566895,65.42252644679527,57.013939016801494,64.52825140012446,58.99738643434972,48.67429993777225,82.38375855631611,52.89309271935283,53.82850031113877,50.26764156813939,50.967143746110764,48.16957062850031,43.6161792159303,94.12887367766024,64.80497822028624,57.95780958307405,90.90634723086497,59.765152457996265,51.041381456129436,49.55905413814561,77.98058494088363,98.39813316739266,67.01337896701929,55.86291225886745,36.895146235220906,68.5565650280025,73.05544492843808
THSD7B,101.02290950744559,75.45982654230077,87.53690067092128,122.28456881034201,100.58353788250696,83.48469972181313,67.80232367861234,87.86859761086565,85.26067746686303,121.62362952053674,93.88397970872198,85.79463262968417,109.42889870724922,86.15136638847979,83.8936344297169,85.8602520045819,87.17214858451972,85.04598265423007,90.63802978235968,95.51120929471445,101.31795123547701,106.16527573228605,51.70561282932417,92.62330224185894,90.51480936017019,95.11896579937817,99.79070528555064,66.32793323514973,85.39437080674195,78.71592210767469,83.97021764032073,74.1507118311242,122.81639666175748,63.54066437571592,148.80739649811815,99.86205203730977,71.1680576010473,56.670103092783506,89.18082146948126,72.5923744068074,68.93601701849124,112.99869088528882,106.72214040255277,106.52871870397644,81.79037800687286,76.77777777777777,98.43413516609392,108.54050073637703
WDFY3,124.69951568751316,86.55457289253879,108.21344844528673,109.02618095037552,124.74303362111321,116.9111391871973,70.6065838422124,105.95311293605671,95.22313469502352,132.71565943707446,112.50705411665614,99.5802625114059,137.74506913736226,92.48347020425352,104.16726328349829,109.83210500456237,118.5956341685969,123.51912683371938,100.55815259352846,115.70295500807187,60.91099880676634,108.68512669333894,87.42472099389344,122.87562293816242,130.72878500736996,111.4043658314031,99.3155050186004,72.07896399241946,107.17730048431248,86.53288411595423,107.60946164104723,98.83891345546431,132.82241875482558,77.81174984207202,141.44753281392573,106.48340001403804,79.28728855197585,97.29886993753071,122.51575770337615,97.03867480873166,95.21436091808802,119.32827963781848,114.87127114480242,135.86832315575208,88.4000140380431,103.78809573945392,106.27661963922229,112.78549870148102
DNAH8,149.9766713091922,105.6316852367688,130.88899721448468,110.37381615598886,201.91239554317548,139.6800139275766,147.91225626740948,129.49512534818942,96.5116295264624,131.38133704735375,133.5283426183844,97.26107242339833,165.49401114206128,124.96538997214485,127.85431754874652,169.48934540389973,112.70438718662953,147.77096100278553,106.4492339832869,146.80132311977715,111.0292479108635,209.7993732590529,189.78272980501393,151.67123955431754,156.7158774373259,165.90034818941504,137.56545961002786,124.55772980501392,126.83509749303622,85.3391364902507,123.7300139275766,147.40508356545962,131.76713091922005,94.16455431754875,129.67367688022284,108.35598885793871,144.75146239554317,95.17054317548747,155.6233983286908,115.3282729805014,127.43154596100278,137.41532033426185,115.62346796657381,159.92472144846798,137.55940111420614,121.41378830083565,104.91789693593314,112.86406685236769
