,af751b92-1622-4643-a30b-a951f6b7f97f,f972a9ad-75bc-4efb-bc6d-6d9e2fd08d5e,f7cc8745-f65c-4107-a670-08be22bfba3f,5088e5a5-f2c5-4d5f-950d-414be8e2aa76,a43c3689-0400-40c0-9e50-4cfec8121fcd,482b0697-4f48-499d-9f41-02014fe82c26,f5c7316f-b836-43c4-8586-3a2fb4f6bddd,35d83ded-86da-479a-8f0b-923e47a05ffc,f6d77e34-d877-49f1-8437-325c613912c8,81b46752-3403-4c2f-b6c7-1620e4e5dde7,6c86cae8-4b68-40b3-b987-aecdf868c1a1,80a1c110-8204-4478-ae48-5cf8cbde8889,3d329a55-7bcb-4367-9e3d-943eb19e1a04,68e16e67-0a12-4d5e-b3d1-aee3bb2a646f,e62a7ad1-b924-4e02-89a2-22749808bb5e,cf43f7f2-f694-4dda-9444-04cce2cbe9ea,b0586776-6253-418c-b9d9-ed46eb4e549c,f369e757-8744-4136-9221-4e1911234345,7ba823e8-3c70-4bce-8a22-81de8f0bc3b7,9ab8f683-8fba-4f17-b6d4-a8d851a98097,d187055a-7ca0-4514-9719-a8537aefe99b,180f5a82-5d53-49b6-b868-8f361869166d,51195237-01ec-4dbd-91d2-868c503bbb18,6179308c-12b7-42b7-9df6-aadd0ac27efd,8b780e98-ac11-4258-bab8-b9c527c95435,8cfa833a-d18f-4e72-8ac6-5ec64faf6f5c,4f717290-1e15-499e-8e8a-37c6aba92b95,fe116283-cb36-4365-abc0-00016b78bb58,0dbb3057-b0ce-407e-ac5e-4456a92bfed4,071f0f44-2f96-4a1c-9e8b-344ca605c40d,83db03ed-a1f6-49c9-a30e-6584f30ed6fc,9fd97008-a1c8-44d7-ba18-ec57296e3df4,996777b3-f868-4d08-bb39-0bcfe23eab72,d1558580-92bc-42f0-baf5-bf40f6f0d7e6,ffad0bc0-8cfa-4e3a-9d4b-08bd1800ef98,4c104a6a-8448-4f7d-994b-35283cec736b,447cfdf0-d0e8-4eab-9852-41606bc564f3,1d8e89f3-58d6-48b2-8295-a68e9d0940ef,4eed5fb8-6d93-4bc9-a823-4d815b62788a,d31cc22f-f019-4a24-b730-1d878b2cb72b,646c575d-2867-4249-9658-c8fc4aee3006,14d5cc55-2837-4cee-9c03-19e2722f6da5,40a120bc-b688-44e6-9374-6c58ab7dee62,ed54e6d3-ec62-49a6-9688-ff7fee97769f,91bfb001-c77e-4b57-8c0f-d14a5611fd4c,6f3f1c9b-af17-47ae-850b-739fed8fb33f,c8e727c1-8d89-4ff4-b8c9-1164f1f8b726,81dfd670-7f92-4c0e-8510-03dd78cfa1ba,f50ad89e-50c7-49f9-bf0c-014b1f06bf9f,233cf13b-ad0d-4da2-a2d1-c0499098215f,b6632109-aeb7-482a-94a6-6288ee76aa80,89bd0fc6-2a15-473e-ad1d-003e115d984a,efc7d3d0-e0a8-42bf-b00e-4ef4a1334fd8,28c3cda6-d927-43f5-86fd-dcc97a446056,4af48c30-61ed-4cc9-9ce3-f4635fade333,da87caad-6c83-4889-888b-a22cfc604bdd,39a50670-1506-493c-b863-3fc62f469e28,1919f7b4-371a-4299-9613-8d05154c1861,544a4cfc-f594-4fcb-9949-7646be7b3d83,c6d72819-d137-43c5-92b5-b58400c12d5a,096011ac-47de-4b9e-b071-02adc18da134,0d17cdad-98c7-48a6-848d-8af85fd173d4,e70704f5-6431-41f9-86b9-40b3bd2290a7,5245ae54-0949-4293-a17d-1540eeb1b2d6,66ae86fc-d5fc-490a-8248-a023820478bb,eb7a6554-2979-49e2-9fda-175fa6bfa5eb
PXDNL,82.25785639958377,125.33714880332987,117.89344432882415,112.90322580645162,255.61706555671176,113.15775234131114,145.75775234131115,96.58584807492196,107.81394380853278,59.3009365244537,58.987721123829346,102.75691987513007,99.33423517169615,94.07034339229969,92.08969823100936,115.66201873048908,105.90280957336108,117.19791883454735,104.97398543184183,112.02622268470343,129.59895941727368,104.8012486992716,61.06347554630593,63.92029136316337,83.40478668054111,88.5789802289282,108.74568158168574,91.48803329864724,103.11300728407909,92.54942767950052,109.93007284079084,184.83746097814776,100.07721123829344,71.83912591050989,108.28616024973985,93.4054110301769,105.22393340270551,123.87575442247659,91.21519250780437,87.00457856399584,65.7015608740895,122.09719042663892,103.99833506763788,94.22330905306971,89.37127991675338,109.60166493236213,95.93069719042664,62.78064516129032,94.2901144640999,47.01103017689906,120.35150884495317,116.4468262226847,78.5159209157128,109.37648283038502,93.35587929240374,122.53173777315297,99.30280957336109,101.96462018730489,112.88054110301769,54.680749219562955,104.33444328824142,120.87825182101977,84.63267429760666,50.71675338189386,112.01394380853277,55.49115504682622
FBXW7,117.61676045016077,116.84224276527331,114.9567926045016,112.5906350482315,114.7411575562701,114.91720257234726,126.62118167202573,90.27552250803859,102.83561093247589,102.71985530546624,102.96402733118971,105.05245176848875,89.77893890675242,116.70498392282958,89.41438906752411,115.41619774919614,103.53697749196141,111.86193729903538,97.40413987138264,103.72608520900322,125.63967041800643,102.71844855305466,104.42845659163987,120.87459807073955,80.82395498392283,122.17182475884245,104.34565916398714,86.56390675241157,96.85751607717042,107.56511254019293,108.45960610932475,98.42122186495178,94.37620578778134,68.27632636655949,100.46925241157557,87.04340836012862,68.68147106109325,114.11334405144694,90.15273311897106,86.57636655948554,113.07616559485531,116.89891479099678,122.83400321543408,92.15373794212219,89.046422829582,102.28315916398714,95.67966237942122,61.849477491961416,94.10409967845659,79.22387459807074,111.85088424437299,114.54300643086816,76.52471864951768,105.92684887459806,65.30988745980707,120.55204983922829,97.41077170418006,97.11756430868168,108.45578778135048,100.7684887459807,101.88866559485531,113.18468649517685,87.62459807073955,88.84565916398714,109.52049839228296,96.3878617363344
PDZD2,59.193609022556394,67.10936431989063,60.39636021872864,98.11833561175666,129.86107313738893,67.2646103896104,118.55066643882434,85.55997949419002,94.9166951469583,93.15029049897471,95.05767259056732,93.28964456596036,90.06621667805878,71.77247095010253,78.2171907040328,66.3456083390294,96.3362952836637,58.168574846206425,54.73607313738893,76.77682843472317,128.06698564593302,98.14166097060834,97.26854066985646,107.87517088174982,78.22445317840055,75.95172590567327,97.88072453861928,50.06091934381408,85.166011619959,59.390892002734105,99.26802802460698,90.53434723171566,82.30784347231716,64.62320574162679,50.6596035543404,78.60603212576896,81.14140464798359,112.34936773752563,80.59894053315107,78.48248462064251,102.18540669856459,108.70813397129187,100.94976076555024,45.64618933697881,80.22923786739577,70.98897812713602,85.46112440191388,84.4577067669173,86.25316131237184,78.05545112781955,110.4653110047847,58.61038961038961,71.1772043745728,97.78973000683527,88.71257689678743,108.9794941900205,90.00145249487355,91.0252050580998,96.26888243335611,99.34065276828434,47.00580997949419,109.98632946001366,75.46941216678059,82.41045796308954,139.13260423786738,89.68600478468899
PAPPA2,41.94448457331545,49.09483025487566,42.41956454442266,44.81591167062223,41.86864100712001,47.32390878134351,44.68991848106491,48.26313073986173,36.62398101331132,37.46290372510577,38.101227943452685,35.23764317407904,38.634506242905786,55.488597667939324,31.933030646992055,47.17500773913941,42.41120627386235,41.16004540295119,38.87988855639253,37.53534206996182,105.6520482922299,66.45764111030853,38.51047363533175,39.981942008048705,55.815395727995046,44.581054586729955,41.54772469301414,33.82664327726757,39.29150758435662,40.08544009906098,42.58961923434114,35.43349499535652,32.713755030440616,44.49840057785574,35.21607677226292,33.38994943762253,56.330306469920544,45.94221442575586,29.280879166236716,35.406872355794036,42.935300794551644,45.37261376534929,53.53575482406357,31.67691672685997,58.55907543081209,50.76184088329378,36.989577958930965,24.01970900835827,34.95449386028274,31.45795067588484,42.12578681250645,44.092353730265195,51.06985863172015,41.9871014343205,37.030131049427304,46.465896192343415,33.7771127850583,39.07749458260241,42.6064389639872,43.63409348880405,34.752244350428235,44.952223712723146,55.96976576204726,35.11340418945413,65.74316376018987,62.12826333711691
FLG2,127.51545374835598,146.18051293292416,132.23432704953967,139.56839105655413,119.59546251644016,146.95155633494082,142.18796580447173,145.74978079789565,109.74473914949583,111.75865848312144,116.27849627356423,119.90289346777729,119.05184129767646,172.6814993423937,128.5252082419991,145.67799210872425,133.27652345462516,123.77301622095572,113.10992985532661,109.33965366067514,362.16451117930734,202.76413853572996,111.57321350284963,122.07562472599737,171.06543182814556,132.59009206488383,124.93314335817624,98.70067952652346,121.8628890837352,124.42371766768962,131.45287154756684,113.93193774660237,107.51928978518194,161.97643577378344,104.61935554581324,109.30819815870233,169.06444541867603,138.06017097764138,95.62582200789127,114.92777290661991,133.6111354669005,139.05830775975448,162.22281893906182,113.90749671196843,169.13513809732572,152.31773345024112,111.0406619903551,72.08877685225778,109.26556334940815,95.74725997369575,138.0223586146427,134.65234546251645,150.16363437088995,125.10225778167471,111.83307759754494,143.2353134590092,101.15892152564665,109.94815870232354,129.5916264796142,176.67207365190706,110.82343270495397,138.26052170100834,225.98081981587023,99.32419991231916,238.5722270933801,186.08472161332747
PTPRT,45.673063141969905,47.16609602675372,42.31961143403137,40.49773071104387,44.19157576240146,44.069591527987896,49.201528784138866,36.27637550760411,38.1586909785811,37.80277092125169,39.13647583406322,39.09037343737559,33.968548451309815,48.620351938848636,31.98797674974122,43.41094036149375,37.86408153515407,42.058762640337605,35.77283223186559,40.36189187037184,63.748228362130746,39.16991798710088,38.94458157496616,42.530217373994745,30.404570427581813,30.057886774424716,23.54335536268811,33.10685564137272,36.631260450672826,21.97913846643841,40.82267696472649,19.33991559837567,33.06457520503225,24.506330121824988,37.70801815431165,32.74759136873955,38.52185683573533,47.04602277251374,30.181781989011863,32.910661676885105,42.28991161716697,45.14754359423521,51.605382594155586,31.549964169121747,33.12453220797834,40.40839238792898,31.96846882713592,24.313639620988933,34.15064893701728,31.985667648698143,43.48658332669798,40.59734055259177,28.00597181304244,39.23154709769886,25.887650290628233,27.1978660721395,35.24078350187117,37.04411179234015,42.54327573851421,47.963930249223665,39.76343657934549,43.53499482442869,31.059160761207103,32.915200254797355,54.28210844812485,35.24532207978342
LAMA2,78.30103734439834,85.38651452282157,82.72448132780083,84.89066390041494,76.71732365145228,85.52188796680498,85.30881742738589,93.10497925311203,70.60280082987552,71.28267634854772,70.33848547717842,69.52168049792532,72.4759336099585,100.2061203319502,61.04377593360996,89.24273858921161,127.00757261410789,75.35238589211619,72.01742738589212,69.04564315352697,198.1701244813278,128.05964730290455,73.27925311203319,77.38609958506224,102.02790456431535,63.60508298755187,76.75622406639005,63.544190871369295,77.27085062240664,80.70228215767635,78.06856846473029,69.28744813278009,63.38547717842324,85.18454356846473,68.4899377593361,63.974688796680496,84.18163900414937,82.87188796680498,60.40539419087137,66.73609958506223,78.97365145228216,49.77033195020747,97.2600622406639,59.99273858921162,110.42458506224067,93.8191908713693,69.8356846473029,41.70228215767635,65.58526970954357,57.158921161825724,78.07614107883818,80.79273858921162,97.34304979253112,78.5402489626556,47.83008298755187,83.51224066390041,63.889626556016594,71.35446058091286,78.26576763485477,64.63423236514522,67.16960580912863,88.3963692946058,104.3109958506224,61.4808091286307,90.33692946058092,66.53163900414938
BAI3,64.95241264559068,70.2936772046589,69.2477537437604,69.68685524126455,64.67004991680533,70.75607321131447,71.7620632279534,76.36921797004992,60.13777038269551,62.270382695507486,63.03710482529118,56.28153078202995,56.36722129783694,82.0946755407654,55.1891846921797,74.00865224625623,106.06505823627288,63.21630615640599,60.29234608985025,57.06788685524126,149.04359400998337,107.69417637271215,57.927454242928455,66.60066555740433,83.26772046589018,53.57271214642263,61.95773710482529,53.64026622296173,64.2026622296173,64.40599001663894,65.58835274542429,59.37504159733777,52.15191347753744,70.0099833610649,58.232945091514146,56.22129783693843,68.69134775374376,69.59600665557404,51.51281198003328,54.1585690515807,67.16622296173045,73.25008319467554,80.34775374376039,51.443594009983364,93.54991680532446,75.24742096505824,61.070216306156404,36.099500831946756,53.598169717138106,47.72396006655574,63.78968386023295,69.40116472545758,80.98319467554076,67.70998336106489,55.232945091514146,71.43460898502497,53.66705490848586,61.26605657237937,64.47587354409318,51.05174708818635,57.71414309484193,72.81198003327788,88.99683860232945,52.704825291181365,91.62545757071547,57.95391014975041
PRKDC,106.04930046635576,153.96298763787104,153.62395440076986,136.94781256939817,144.52483529498852,142.69272336960546,164.34080983048338,121.37693389592124,135.599600266489,72.30394551780294,74.955511140721,130.90968983640536,117.71759567695611,116.7654156488267,116.44881190317567,147.41757346953884,130.93789325634762,145.1333185283885,129.66881338367014,134.18609815678437,140.99555851654452,131.35191353912208,72.74335628099786,80.297357317344,104.1760307942853,110.59589903027612,135.74194981123696,115.41912798874824,125.17950995632542,113.52979495151381,137.58864460729885,231.54541416833223,126.25590347175957,91.84913761196239,134.58213043156414,114.36427566807313,135.2225923458435,147.6539344140943,117.36531201421275,110.42875120290176,80.64290473017988,154.4763491005996,130.33281516026352,116.72351765489674,115.55614775334962,130.68761566363165,121.58279665408246,81.93078688281886,120.95921237693389,59.65349026574876,144.82093419202013,144.2078614257162,100.05374194981124,137.55311273965503,115.06454955955289,148.19868235990822,123.41379820860168,125.38929602487231,141.0504848619439,61.96750314605078,124.9372270338293,156.62891405729513,109.76186246206233,64.76275075875343,142.20874972240728,70.12436153675327
ASXL3,73.22425952045134,44.15761636107193,76.22337799717913,71.06470380818054,61.34344146685473,72.81197108603668,78.73554301833569,61.60243300423131,65.92533497884344,68.23730606488012,42.61847672778561,36.44605077574048,55.656382228490834,53.97002820874471,59.140779266572636,43.58744710860367,65.4308885754584,72.6755994358251,64.84626234132581,53.24347672778561,89.92374823695346,65.71156558533146,65.81902327221438,74.78041255289139,53.17621650211566,66.91061354019746,39.31734837799718,60.03005994358251,64.95407263751763,55.94931241184767,64.99259520451339,63.14985895627645,43.26049012693935,45.47725669957687,68.99444640338506,43.57598730606488,42.146509167842034,42.5575634696756,60.9449047954866,55.05068758815233,73.38637165021157,72.81170662905501,77.600317348378,58.17718617771509,56.746297602256696,64.50317348377997,60.200811001410436,42.05051128349788,60.30104019746121,50.91907616361072,73.65550070521861,73.71130112834979,49.685736953455574,67.04901269393513,55.9473730606488,80.76886459802539,61.6027856135402,63.29724964739069,70.31805359661494,54.100758110014105,64.76331100141044,49.25502468265162,54.333215796897036,59.6554125528914,57.56964033850494,63.59793723554302
