,011fa5be-ece3-441e-896d-40c4b68b7905,069f4aea-081a-46b4-9528-be7e44e1e0c3,0ef10e66-7fd4-4d07-9877-0a9e142e4732,0f321324-0481-436b-912b-fcbcfa1740ba,102b3ede-8d6a-482c-8f8c-904d66780afb,1553d76d-8835-4384-9c66-27d225de04c3,17d265eb-4ac8-4b3d-ada5-30ad3401628b,2090559c-0fe7-417b-80f6-3fb5179fee29,22d00327-e962-4a4e-945b-75d2c9ed4b7f,236fe58d-18f3-42f7-af7c-5e82c62aae70,24a1145e-6cdc-4232-af99-15e7b1779b7e,29e5b38e-4648-4beb-8628-a2ffa09e5a5b,2defc198-6b45-4678-991c-9d5b0de089e4,30b22957-5f72-408c-85af-d3d54c13ff94,32bfc702-b93d-42ab-809e-a538ed0b6e46,34bc22c4-aeae-4b65-8bc0-81c43a653374,37941d0c-0412-4099-bdb6-4b751ed985bb,39d19e04-98db-471f-864f-4ca65667dde3,3d81ec72-4295-4a19-ad04-3fff3cf1f91c,408b0c94-dda2-4414-98fa-8bd68f803f43,415234a8-35be-44d6-b6c5-0391b98c15a7,418a75a1-d47e-48e2-b8d3-c5cf81707f58,429e286c-9f4d-4c4a-9e14-faaf526035fc,49559622-64d1-4f8a-9070-bd822bf3cec9,4b6220ee-a4f0-4366-81fc-2d5d76fa0d16,4cb9b4e4-2253-4ec0-b557-768038627ca3,4ea5af8e-c02b-4745-a78d-58d4bc30e4e2,5340d7c1-dc3c-4d4a-9e5f-a4f2f0d37f43,549ec67b-4b32-4615-8943-eb31a5248611,596d535e-804c-4c0c-a720-cf442c255b48,59b21bd1-e768-46b8-8778-bdbea60377da,6056f026-c894-4fd1-a427-db921f58d10e,62766e3c-0392-4320-a6b7-bf8932682c29,6871b3c3-0510-4e02-b838-3022a353061e,6b9ffbbb-82d2-4d85-bc3d-dcae3bf9bd75,7268a915-b727-4288-b330-9e1c62d1818d,7a73c623-4b47-4d8a-bd5f-f110b5916554,7c4ab5fb-7450-40c1-aab0-1ad03da033e5,80d10465-4005-4b7e-b88c-55971fcf32d4,82a65dea-4c13-4df2-a4d8-81ed0875b550,84d59770-b03c-4f5c-a19b-987910f7b71c,877deb5f-aa25-4a0c-98d4-b84fa119d348,87a333b0-a8c1-40e5-b625-25cd508c141e,8b9f04e3-13dd-4051-bf5b-774539cc294a,90e1c8c3-a7e2-4d43-ac39-f8aac4a175e5,916e6849-c05b-4b24-8bb7-d272e4bf8d6e,94ff0aed-a78d-40a5-8559-3ee2072f98e4,9943b9bf-e0e8-4eb7-bae0-853611a40ee3,9a8cebde-0071-4405-8c1c-28dd6ff0dde5,9c9e5200-0cf5-422b-96a3-efce3949bbc5,9e605693-3c13-4e7f-a9c4-e3d17b149d73,a215e3e4-04f2-43a7-a546-2373476aa7be,a491de58-f505-4ec3-8ce0-717901943c8d,a61b12ad-e025-4310-b3c6-352152a4d197,a98c6e1b-8f50-4bf5-8a82-ccfaefd1b203,ad3f49de-5b64-406d-b41d-c02a098e02c4,adcec73f-37c2-4d16-a18b-b9efc0e2a056,b2c9bc0b-3deb-4bab-814c-62d3052584c0,b2ef9fef-318c-4673-ac67-40a85080e9ae,b3698278-2558-415c-896e-94ac896725d9,b609c5b9-cda6-43ac-8b00-28f74aaa5f6e,b64c6ed7-98ff-43ad-91ff-13badc7e4b17,b80b7735-dc4c-4965-b6ed-7c910f2d317f,b91d9f87-82e8-4f47-bcc0-b87fdaa4acec,bc247691-18aa-4421-8e2a-84f22a2e7002,bdbcc9cc-ac8e-4f7c-a08b-72a1c75b6a4b,c81b709f-f27f-473e-bfbf-54d93d5d2f42,c846e9f0-155c-4f65-ac13-82536e6ffdc6,cabb3966-92f9-4d60-886b-d5647b837f90,d07b8988-cd5a-4cd6-a19b-a1f18a3342f3,d489530e-c6f5-4f2d-89d5-220d465f62cd,d7f96826-6058-4c3e-b62d-fc47959bc9c0,d82a7411-9ffb-47a3-ab12-b153385b50b4,da5008ee-bfa3-418f-9f5c-1a690484e2d9,dab10a0e-fd6e-4bba-a65b-2ffb691a2a14,db9ab3db-8ddf-4d27-9018-3e8cb3eeaa93,e53c8be1-db61-4c32-aeb8-33efc3e71671,e5ead5be-a08e-4595-9a3c-dd02934e7534,ec7d4a5f-2745-4058-a0bd-a2e5d22d0a33,edda5930-fa83-4207-85ac-9176100b72f8,f15de1b0-ec61-4342-8166-e64101f1f7c1,fae90369-a2a6-4ff6-b0a1-744303eaca06,fb0cb462-2294-4e0f-b317-15564db7e222
ADAMTS12,32.07658992477775,40.81297013904719,31.273307499430135,66.01572828812401,44.39958969683155,40.26407567813996,36.210508320036475,76.48028265329383,80.98598130841121,50.39753818098929,43.73706405288352,44.677912012764985,38.73068155915204,31.682926829268293,41.82425347617962,45.95714611351721,34.99794848415774,46.850467289719624,33.429564622749034,64.66024618190107,40.82413950307728,35.61682242990654,38.90984727604285,39.23922954182813,35.62115340779576,45.78573056758605,41.75643948028265,41.35844540688397,48.313653977661275,40.423979940733986,47.40528835194894,65.3701846364258,37.68258490996125,41.03783906997948,54.103031684522456,37.70868475039891,44.94096193298382,59.76510143606109,50.6295874173695,31.077159790289492,39.8940050148165,40.9392523364486,37.37029860952815,78.0002279462047,46.65443355368133,45.56553453385001,41.63038522908594,39.73672213357648,38.601436061089586,39.151014360610894,44.97503989058582,32.111807613403236,35.13733758832915,38.61226350581263,38.84157738773649,49.08399817643036,39.87519945292911,47.02336448598131,35.66138591292455,36.36152268064737,56.49259174834739,34.52062913152496,31.68304080237064,38.12081148848872,46.00649646683383,37.607818554821066,38.278664235240484,38.489742420788694,40.92728516070208,41.37611123774789,47.15545931160246,39.84351493047641,41.2515386368817,91.30282653293823,43.44016412126738,37.279120127649875,46.8704125826305,62.05926601322088,36.330863916115796,50.855254160018234,47.762708000911786,39.67209938454525,34.748917255527694
LAMA1,55.5227296261779,77.84467225846537,60.198405301853576,69.35104069586828,86.38303821062442,71.33902868385627,96.8837112975044,74.77373925649788,104.59324842083463,72.01325463394429,75.81143212177695,82.72237754996375,86.5197266231749,59.43750647198923,80.7421559490525,106.84384384384384,72.0445272859066,70.17810914362639,48.018535777156465,61.97639018328673,68.21269545407476,62.79952366159263,67.98767733250492,74.59811535673605,67.30423526975251,67.6450243346795,71.35010872941908,71.60298229263746,66.28652790721756,69.56881018949984,78.0648234441338,72.60277518898208,66.24945635290463,79.7573780677229,83.990990990991,69.78730454592524,55.39246142694419,62.653619136377756,56.11193952573263,75.10500155327742,63.74919747333541,71.28880604742673,73.65589727658693,154.5620793207,86.76307341824584,81.24438231334783,61.16433675054365,76.49207828518173,68.98943771357564,67.78533706119913,49.7795381588485,65.0081805943875,69.70518794656725,85.20575748161956,70.11473542508026,78.68178523350937,70.2325774049912,65.98871285078182,71.18142280211245,70.74391633012323,83.74101687894792,67.94863829346588,63.95961478720099,55.3357150253702,86.63850056953505,71.31521176348762,73.22263642953298,79.1182561872217,69.33260847053951,71.2699596147872,71.20109764937351,69.70083876980429,39.336854095474784,169.70197783990886,60.58392875634255,67.68789479134307,84.03137620379,76.91115253184219,83.02713057885472,101.45966656311484,55.94283939111525,68.3466915191053,68.80677228953091
MYH8,54.008773381890414,42.729680516470786,45.132925012415164,35.0004966065221,58.34034100314518,75.22777685813607,54.728356232411855,80.68101307730508,76.52640291342493,55.66826684323787,78.0943552391988,69.68200629034928,35.51945042211555,60.07531865585168,64.28604535672902,67.85598410859129,52.80814434696242,80.62638635987419,44.249130938586326,66.6234067207416,62.20162224797219,68.3618606191028,59.82751200132429,70.85730839265022,60.884787286873035,52.56911107432544,79.79804668101308,68.09518291673564,72.25624896540307,77.76974010925343,68.95513987750373,57.2640291342493,80.02681675219334,47.15146498924019,38.66131435192849,56.76510511504718,60.746730673729516,69.93891739778182,60.19433868564807,71.35209402416818,79.1292832312531,53.413507697401094,64.49693759311373,145.29531534514155,67.15444462837279,48.91027975500745,66.31302764442972,67.84704519119352,60.466147988743586,75.26485681178613,84.51001489819566,31.298460519781493,41.19135904651548,48.658665783810626,74.98890912100646,65.95662969707003,73.90481708326436,48.99221983115378,58.103625227611325,60.493626882966396,71.03376924350273,65.84919715278927,47.7713954643271,68.97632842244661,74.07564972686642,66.90895547094851,74.66181095845059,71.30839265022347,78.86541963251118,73.57722231418639,75.80168846217514,75.5270650554544,53.73712961430227,165.5000827677537,76.79357722231418,71.04154941234894,63.69673895050488,79.93693097169343,40.586988909121004,78.5550405561993,60.972852176791925,70.01986426088396,62.70849197152789
NPAP1,38.38758968907786,75.71870847727877,46.75817167153867,71.78873239436619,72.11148020196651,55.956683497209674,65.06444326335371,34.18110550093011,128.79045973956949,55.15958012224289,56.19691735317566,60.65639117725219,73.51435025245814,38.023252723890515,52.238373638054746,58.27292054212065,45.50797236247675,38.86832314642572,53.85556736646293,50.36500132872708,42.55301621047037,49.550890247143236,55.29258570289662,51.70183364336965,57.67446186553282,52.006510762689345,43.25963327132607,55.32341217114005,48.969173531756574,38.5853042785012,67.00451767207015,56.44034015413234,39.24780760031889,56.12144565506245,50.86460271060324,41.068828062715916,43.265878288599524,52.659181504119054,55.71671538665958,41.46120116927983,54.966648950305604,40.68708477278767,56.69053946319426,72.46970502258836,64.85011958543716,35.72017007706617,46.97953760297635,74.90127557799627,53.65532819558862,54.042386393834704,58.46518735051821,51.1752591017805,46.96890778634069,54.37403667286739,54.66848259367526,30.009965453095933,56.525777305341485,50.40712197714589,32.939542917884665,50.571086898751,43.21179909646558,44.109885729471166,47.853840021259636,53.605633802816904,60.6404464522987,49.646292851448315,47.915227212330585,54.759101780494284,57.29617326601116,56.58291256975817,43.486845601913366,55.67831517406325,41.47953760297635,107.74382141908052,56.94565506245017,54.271326069625296,41.8534414031358,60.1941270263088,59.762955089024715,82.1990433165028,60.29590752059527,55.16476215785278,47.37948445389317
NAV3,58.521662604928245,74.69469266179259,60.42607636068237,60.931898185756836,72.88776062821555,84.56742485783916,64.71662604928243,80.38126184673708,120.53790955862442,67.45234226915787,81.82087733549959,80.65096127809369,64.85215272136475,63.06485242350393,102.27105334416464,78.46953696181966,67.34402924451665,85.53669103709721,88.2768751692391,68.78716490658002,78.54725155699973,70.86393176279448,79.35079880855673,77.85215272136475,78.46980774438126,93.91497427565665,82.57297590035202,82.04847007852695,76.71797996209044,81.27294882209586,127.58692120227457,66.33076089899811,83.66355266720824,76.45207148659627,70.37733549959383,76.01218521527214,85.8841050636339,72.3659626320065,84.47116165718927,59.80936907663146,82.7591389114541,79.1525859734633,70.81884646628757,155.76428378012457,82.08096398591931,51.38979149742757,75.34619550500948,74.65691849444896,77.23923639317628,73.78499864608719,86.39480097481722,58.18575683725968,70.82439750880043,83.21581370159761,77.10276198212836,80.82412672623883,77.72962361223937,56.60425128621717,62.35824532900081,65.57703763877606,81.5977525047387,71.3835634985107,53.78120769022475,74.37232602220416,83.731248307609,72.57974546439209,82.90834010289737,77.95762252910913,85.35201733008394,77.89805036555646,79.22894665583536,79.18968318440292,57.9201191443271,176.93284592472244,80.58407798537775,90.26184673707013,90.12049823991335,86.51137286758733,80.12401841321419,92.5180070403466,63.72867587327376,77.01015434606012,70.69333874898456
SI,53.87872234237232,45.67260023290634,17.31142904674763,31.780236233571785,30.642655132257527,70.41906504741307,30.55182166028947,65.25137248377973,24.623190816835802,35.8817168524372,66.6572949592414,48.327898852104475,23.259690567293294,54.496922309099986,82.70936616203626,36.1638662452171,43.19980036599568,66.95774413575113,70.7236732656796,53.76543004491765,48.64864415238729,61.788387955415075,64.58492763267343,60.64614872733322,62.40825153884545,65.55232074530028,68.32340708700715,67.61437364831143,77.02395608051904,64.76543004491765,50.84578273165862,36.83214107469639,61.89053402096157,47.40825153884545,35.458825486607886,46.253867908833804,69.72966228580935,57.21477291632008,50.77923806355016,31.15920811844951,74.50973215771086,56.45034104142405,47.82681750124771,118.83962734985859,35.73315588088504,71.49609050074862,42.427050407586094,49.840459158209946,69.33671602062884,58.57311595408418,69.0352686740975,28.86890700382632,68.73348860422558,50.50341041424056,61.67759108301448,65.71269339544169,60.40026617867243,23.066711029778737,36.87888870404259,44.62102811512228,48.64431874896024,56.59940109798703,24.26867409748794,59.64864415238729,48.68640825153884,49.860256196972216,74.76958908667443,58.26534686408252,71.0369322908002,64.76543004491765,65.18798868740642,74.05007486275163,41.22641823323906,133.0830144734653,64.8926967226751,62.747296622858094,62.89985027449676,43.114290467476295,47.019630677091996,51.8511063051073,34.96323407087007,61.09083347196806,51.36000665446681
CNTNAP5,43.72009841029523,58.00984102952309,44.61979560938683,50.49015897047691,62.85087055261166,58.06396669190008,54.10919757759273,62.4780469341408,109.06264193792582,52.066048448145345,64.61998485995458,63.75757002271007,58.2833080999243,46.54844814534444,63.06245268735806,59.105791067373204,52.06320968962907,53.685276305828914,47.72558667676003,52.0223315669947,54.652725208175625,52.09386828160484,57.53690386071158,58.518357305071916,58.78652535957608,57.86752460257381,61.198334595003786,59.71725965177895,54.23448145344436,59.972747918243755,61.14950794852385,56.4941332323997,58.25075700227101,58.255109765329294,60.19000757002271,56.36790310370931,84.82645722937168,52.85957607872824,56.112793338380015,58.34784254352763,56.19663133989402,59.79182437547313,56.309803179409535,118.13285389856169,65.0900832702498,37.13171839515518,63.18697956093868,59.36071158213475,57.02876608629826,58.23277819833459,61.2170704012112,63.21290688872067,55.06131718395155,56.38966691900076,59.07551097653293,60.41937925813777,59.10314155942468,48.675813777441334,52.370552611657835,54.056964420893266,63.74810749432248,51.81302043906132,46.67694928084784,56.06283118849357,64.17846328538985,56.573807721423165,60.443035579106734,60.39193792581378,61.21650264950795,61.39553368660106,60.6778955336866,60.589326267978805,45.22520817562453,133.14553368660106,59.49697199091597,57.02327781983346,64.06131718395156,65.32153671461015,59.401778955336866,75.16199848599545,47.1273656320969,58.03311884935655,53.31945495836487
PCDH11X,18.20928205686894,37.852271489268986,13.160692885935287,14.630787667501906,20.615862294367577,44.757925699967316,15.96012637542216,23.135635690162328,27.275302320514218,16.939426952827105,22.542215927660965,22.946835167229544,15.61346551911973,17.432400043577733,22.813596252315065,19.116897265497332,34.602026364527724,23.493082035080075,12.266913607146748,29.641464211787778,17.61618912735592,21.011548098921452,21.747140211352,21.316592221374876,40.81555725024513,21.430330101318226,24.259069615426515,23.91273559211243,31.41899989105567,22.50953262882667,17.931365072447978,35.79997821113411,22.604423139775573,26.4849112103715,17.235646584595273,19.946835167229544,18.37825471184225,39.01547009478157,22.14761956640157,19.85303409957512,23.051421723499292,22.59919381196209,17.961651596034425,41.18618585902604,22.29513018847369,49.72981806296982,13.30025057195773,7.75269637215383,22.56934306569343,39.46127029088136,30.306024621418455,15.573265061553546,18.838326615099685,22.67894106111777,22.363547227366816,23.501906525765335,22.127900642771543,19.08410502233359,16.75541998039002,17.41725678178451,21.851399934633402,32.24479790826887,13.659548970476086,22.161673384900315,22.34480880270182,18.496677197951847,23.018738424664996,21.106874387188146,24.051421723499292,28.7400588299379,18.13781457675128,45.41954461270291,15.407342847804772,49.7286196753459,22.565965791480554,22.08399607800414,24.57021462032901,24.802048153393617,35.99433489486872,23.18978102189781,18.853251988234014,22.130079529360497,18.724261902167992
THSD7B,50.01030927835052,62.77614138438881,44.184748813614796,52.171821305841924,61.09065619374898,77.24284077892325,54.32318769432172,78.27556864670267,94.91719849451808,56.58501063655703,80.6815578465063,71.68695794468991,49.624120438553426,56.571101292750775,76.98183603338242,65.65668466699394,58.78939617083947,69.13631156930126,62.54000981836033,65.60317460317461,71.18949435444281,69.77892325315005,75.62690230731468,68.38831615120274,75.1898216331206,72.88512518409425,78.39960726558665,77.89559810178366,60.87874324987727,76.20438553428244,67.81459662902962,59.07969235804288,72.6987399770905,65.43233513336607,57.6481754213713,65.91654393716249,104.80706921944035,68.73899525445917,65.02127311405663,68.62837506136475,76.79512354770087,74.79201440026182,62.34609720176731,139.38193421698577,57.76894125347734,49.7262313860252,65.6589756177385,66.95107183766977,76.69923089510718,73.16871215840288,79.16102110947472,65.17362133856979,60.63508427425953,64.815578465063,74.29078710522009,76.30224185894289,76.25020454917362,52.7929962362952,55.9049255441008,59.67713958435608,70.0566192112584,64.73408607429226,47.101620029455084,73.96825396825396,71.69317623956799,64.41744395352643,72.39977090492555,67.87399770904925,78.8047782686958,77.18474881361479,77.22827687776142,77.20471281296024,52.888070692194404,162.36393388970708,77.28538700703649,72.09572901325478,75.98429062346588,83.31533300605466,62.987727049582716,79.54966453935526,61.80952380952381,73.80625102274587,60.83456062837506
DCC,27.954046639231823,34.84675680971977,23.047619047619047,26.58739956888105,31.490691749951008,37.1676464824613,27.484029002547523,39.846658828140306,33.937977660199884,29.87027238879091,39.01185577111503,36.124436605918085,25.625906329610032,29.667058592984517,39.53321575543798,27.54281795022536,30.091122868900648,35.67636684303351,22.811483441113072,30.672349598275524,33.880854399372915,33.53889868704684,35.827944346462864,36.25788751714678,28.2880658436214,35.238977072310405,27.534391534391535,37.46227709190672,33.503919263178524,36.76053301979228,34.122966882226144,30.667156574563982,33.42651381540271,36.18244170096022,30.43631197334901,33.91710758377425,29.571820497746423,32.68449931412894,38.08749755046051,36.4909856946894,35.5487948265726,35.50568293160886,31.766215951401136,72.20899470899471,34.06917499510092,43.70968058005095,25.4891240446796,34.95365471291397,37.3522437781697,22.707231040564373,25.11463844797178,24.579267097785618,20.84087791495199,38.726435430139134,35.47491671565746,25.36801881246326,36.330295904369976,24.98304918675289,31.223887909073095,29.504115226337447,37.32843425436018,33.978737997256516,24.320497746423673,29.123750734861847,38.159318048206934,34.343327454438565,39.104448363707625,35.45874975504605,38.86165000979816,22.860572212424064,37.36929257299628,37.02508328434254,18.429943170683913,84.37037037037037,30.512737605330198,36.477366255144034,40.867332941407014,40.86743092298648,20.478150107779737,41.87027238879091,28.924260239075053,34.60660395845581,32.49265138154027
