,df3952cd-2a69-4685-a128-4707ebaf936d,b4d90c3d-c174-4379-bb7f-735956bc43d1,d49349f0-da3e-4573-b780-1fd1e9a75b86,9c88ac16-1131-4894-a89b-9819b197dc04,449f8345-f732-4c63-85fd-40444b088fb1,d2adcb6e-4f00-4b90-a4b5-ef8587232318,b8024b43-c91a-41c3-8440-dc5e287b616e,aecce2be-add3-461b-928c-2fdfbece0b9a,654e33c8-374f-4ce8-a550-f97c2bb093f6,10de5540-33ff-47fb-acf2-5f267b263fa8,779388eb-8467-40c0-87a6-4a3c29ac5d03,6ddd0ff8-3331-498d-991c-a864fa654202,a7e93e70-6e34-4264-84fe-3c5450e2a4c0,a4017d00-9cba-4fe7-a119-5af49e954985,8562a7aa-a694-4241-87e0-eebc8c5939b6,baaa9216-5723-4c6d-9131-fbe2932c894a,4f41b882-4bd7-4829-b58b-ecd727aacb08,5759aaab-b7f9-4f26-8220-3bf108ce2a05,72b2404a-d1e8-431b-b88e-ba074a93fcc7,fbe23aa4-6022-43fd-84a7-816fc26aa70b,43ed0e15-cbd1-4874-a80f-3476a933d269,20546ab7-8bc8-4afe-92f0-1f8187bd0fee,04af9077-0b70-4fed-8a2a-20dcde777ee2,94aee06f-a78c-4b09-899b-c2adc4236d59,fdbc648c-6156-4318-9b42-38cd6ae8b55d,ccc33547-bc30-418e-8199-2c8d72463d8e,8fbc742d-250d-449d-881c-cb4e8aaf9963,abc68835-423f-457b-a799-092b2773f6f2,7b618efb-e77b-45d8-8cc9-013091c47850,26089d4b-1d2b-449d-b2c8-c4bffd8d528c,98b61247-e6be-41c9-82fb-0707aed560bf,113795b5-2370-437e-abe7-b8af9b8b7e6d,a6227213-4b2d-4724-856c-5bea2305eef3,f8a645f2-d3a2-4cae-a72f-e1d60bd82521,45718b04-9e75-473d-8379-0c2b7c19a558,80830c09-b64b-444b-9345-ea0b95d29961,eadde7b6-e84c-4024-a757-27c6bd7f9898,015d9212-a8b5-41cd-ba0f-15d58cee8812,50263829-8b9a-4ce1-93cc-43fa3ff76c36,f2c1fdf5-fb77-46c2-ad66-6f619a1182d6,65a73095-0cdf-4fd4-baf4-df819119f677,fb727248-4e01-4c6d-b12b-1d5b7ca4baa8,142cee17-f038-4def-898e-06a44cb0a64d,52aada7e-991e-4592-8ea1-cae3bba3485e,af7e5686-500b-427d-8837-d0de43b2c6c5,2fcbfc64-7b10-4b42-8006-8a08c26faf99,4d2e2283-d9d8-45a3-a0d0-c77f080ce962,53baf666-fde5-4fb3-b4bc-8573b88c4c6c,4c77757e-519c-47f1-badd-3ed502c37629,2b3f8df4-dd8b-4513-9969-a07939471426,ce1a4049-39d6-4ee0-b749-736e9f5d4a75,bf7b2929-6c9e-4def-839e-1f3d0da421dd,d3e5d69d-17f4-4f56-95d8-33c772e3147f,812c8bc3-4ea9-41d2-9976-34877d45898b,eca73ec1-d809-4706-87e3-fd99181756fb,4740481c-2af3-49c3-b3d7-7a338282e646,fdf46855-e0fb-4b1b-9c90-2edea22873d6,3f092dde-71fa-42f6-b52d-77a6d01e7d07,35fba664-a88b-48dc-acd8-760420c0de3b,3ff7129d-93a7-48e2-995c-2f5bee0ab24a,94f0fd64-596a-4db6-8504-27d00ae739b9,53af003f-3a7f-4e89-8a44-389a7faa480e,33c58663-dd1a-454b-8c54-a465109b8019,9ebac7d2-9de7-4ba9-b635-feffd1f04be8,426c7680-32f7-4f5b-9ed2-e86947a09d1e,3b01d7c2-6b03-4f89-9a4a-2319be55878a,90bb103c-eeda-4413-9efa-3d67bcd82839,fcfd8c8c-9f44-4ba6-a34c-ba0ead2d1c79,a394fa35-44c4-46ff-829f-595e659ea86f,59569e70-0fba-44d9-8221-2e30f50e9c83,cde33ec3-91ac-4c33-a68f-b08e142e04a2,e3b39a93-04d2-4428-9b19-e30de286055f,d74ec796-b1ef-4836-9392-409047c97003,70b58c19-122f-4698-961e-7f71dd514dac,3e0ced40-94e0-4887-be2f-2518c9a099fc,b96b2f74-85af-47dd-b99e-cd5c95dff6cd,05cd62a2-15b9-4baf-b164-db66520d985e,2e0a4654-d541-455b-946e-b9adcd131955,ee287df7-b6a6-4761-9fbf-f0b6a7bad370,8a7d1562-3cf2-474e-8d7c-2fc4025eb8e1,fed28e91-27a6-4d8f-b66c-85c29faaa4d5,96d24a01-b8d2-4219-84c1-f7aa886716f7,aaae5cc2-732a-4101-968f-473fa165f8f3,500628e5-2fd9-47e9-8fe7-f89ccdc907bf,ee5bef82-48ff-4fea-bb80-4a8897cb971d,e581bba5-c0e5-4517-92a6-2f805f5cd376,34d09f80-34ae-4d5b-b81e-da473c28e3cf,13e6ddbf-0c45-4bb6-8631-28e294988082,b308e822-f623-454a-8eb9-6a53b4158d14,4cdc4bc3-b5f5-4cd9-9563-c016ceb29bc3,b455efbe-4c4a-446c-9d60-df4bfd282af2,6479a950-0637-4333-93ca-ed37a617989b,c2c0ab8a-bca2-4461-8e42-0d4df70fd0e6,364ffa19-1510-4cfa-a6a5-561037963b51,af8d572a-f20d-4cf4-8bc0-aff3dd8e1ce7,ffd91203-3937-4efd-a691-8ac716bc8883,2d212b26-e08d-482e-b65b-4d397f08a024,1e8ac9ce-7e05-4367-a409-0ab4e9a7fd24,5b4f993d-2919-4529-956c-df8756f67c57,65f988d8-ad7c-4041-98e0-de0ffb57271c,cb84a2e3-c183-462e-a8c1-d8bf7b338ab2,36d09982-af60-42e1-b9eb-2dde51a64daf,7b48fc83-e90c-4cc1-8f97-75194e8e53ea,f32b3b68-4b47-4ca2-b286-504f10fadd24,79c4d594-80c3-4f59-94da-877648d3a7b8,86fdb729-e0d8-4caa-9f8d-7c45dde93133,995f09f3-af9d-4af1-adaf-7ca167fa19e6,52e4b1c8-5d1e-4947-b737-a3a68c2e95c1,d2ce968e-145d-4e3b-acb6-2d348f60b9e6,3c478500-0e41-482d-a31c-95985f18c326,686426f3-11f3-44b1-bae3-b75742244513,aef874a7-de2a-4143-95fc-5af99e2fb719,1bff2ada-3bd5-4d79-a4cd-908ec885f43e,f9bcadb2-fc9e-4366-8e51-c1bd5c76e64b,8c0d5dcb-4e10-4dd4-b99e-971ac97deefa,920fa077-2cc9-4f8f-b448-6afb1ac7d03f,58dac2e9-7732-4144-b977-e81832f7a694,755360c4-de85-46dd-b9bc-95b115361154,00fb1709-3c81-433a-ac43-378be5cc19ec,e90aab3a-f6ce-4c87-9508-8bc3f8250208,99a9c9e6-f91b-4336-9d8e-15ed9e96aaab,0490a198-b53f-460d-8bff-d1a59c384226,888fcbba-c4e9-4295-ae9e-68d331598632
AHNAK,83.90115505402672,57.549262788098154,77.98839623143664,83.17597274711237,73.17208708149252,84.65641134827274,72.54154468515463,62.1354660137329,87.86607760685581,63.820460957044766,58.926651407888436,60.2144035769415,63.50407196465641,74.34412093468887,67.04194389737584,69.557087347634,91.23564166711023,73.17251290786182,67.2930749986693,88.34821951349338,47.82136583807952,74.03427902272848,78.947836269761,87.11465374993347,79.81716080268271,61.650982062064195,92.26954809176559,76.97583435354234,78.2735934422739,50.74780433278331,64.81487198594773,60.038696971309946,60.275349976047266,74.12279767924629,63.58141267898014,46.97317293873423,68.54276893596636,78.64864001703306,85.62537925161016,86.07483898440411,88.16388992388353,61.389844041092246,85.11130036727525,76.95310587108106,59.828232288284454,88.16692393676479,82.85112045563422,71.0804811837973,88.90003725980732,60.66865385639006,65.5979666790866,83.30861766114867,53.73848938095492,73.94746367168787,89.99563527971469,59.379677436525256,76.15500079842444,67.6922872198861,96.52978123170277,81.71751743226699,71.63474743173471,44.777612178634165,72.70889444828872,56.26252195667217,86.13477404588279,76.30340128812476,64.68073667961889,88.36179272901474,68.3350721243413,78.79288869963273,57.349603449193594,56.59456006813222,91.99329323468356,85.1295576728589,78.04944908713472,85.18299888220578,64.66263905892373,69.85734816628519,66.00340661095439,65.26076542289881,62.06605631553734,83.9114813434822,76.86996327247564,82.66822803002076,63.491722999946774,92.67195401075212,88.6396976632778,64.21488263160697,87.58742747644648,81.65225954117209,68.60637674988024,79.84851226912227,56.6344812902539,78.42497471655932,71.78985468675148,88.26843029754617,70.36344280619578,76.19470910736148,80.80044711768777,69.18693777612178,81.93112258476606,46.78623516261244,68.4192260605738,40.05418640549316,81.94011816681748,71.69824878905627,63.37408846542822,56.85591100228881,77.08186511949752,95.49768456911694,69.57454622877522,76.37957097993294,96.17645180177783,81.80768616596583,84.57949646031831,68.82961622398467,72.17666471496247,80.39197317293873,71.23298025230213,87.24511630382712,70.69154202373981,73.36099430457232,91.27918241337095
FAT2,41.24989679372506,29.501444887849182,40.04974542452181,39.618756020366035,39.363767717077195,39.46704279620201,37.48513829640842,32.17531305903399,45.81278381725609,32.532750791248105,28.881175175450668,28.96071281133893,32.54891977432228,52.83404430989404,30.506742809962844,43.55896518508325,46.13829640842163,36.489610568322554,37.16017613870923,41.13760836658869,63.15040594468144,37.23262694371818,38.71425622677859,55.55662584285125,44.542727397825786,30.650887573964496,45.59460575202972,44.07878078987203,48.62797578092748,25.812439796339618,32.13857162515481,29.78856474473648,30.615728636301085,43.06047887711573,36.39183982386129,22.767923489748178,51.341131140773356,38.56962983349388,44.886197880831155,44.04403467730838,44.03502132929682,30.22093023255814,47.867964772258155,41.11813678271639,33.77074446126324,42.87911104995184,39.39816980872437,42.59955965322692,44.42610430714188,29.917916609329847,31.99332599422045,45.321728361084354,24.793587450116966,38.82200357781753,43.65212604926379,30.10877941378836,36.356612082014585,31.116623090683913,49.244048438145036,41.359914682812715,36.563437456997384,43.37367551947158,39.563231044447505,27.414545204348425,44.34477776248796,36.92617311132517,31.664304389706896,41.768680335764415,35.96786844640154,39.8600522911793,27.50887573964497,28.231250860052292,47.91702215494702,46.10375670840787,39.6398789046374,50.19746800605477,32.56577679922939,40.71274253474611,30.982936562543003,33.48094124122747,30.319801843952114,41.69327095087381,37.5741709095913,43.158318425760285,30.745355717627632,47.221343057657904,54.21019677996422,31.846429062887022,44.081739369753684,45.40560066052016,33.06157974404844,39.10671528828953,25.12639328471171,40.72093023255814,36.519540388055596,44.53612219622953,35.60155497454245,38.274735103894315,46.30088069354617,34.50791248107885,39.87051052704005,23.781340305490573,32.63905325443787,20.316568047337277,41.59845878629421,43.70861428374845,30.301224714462638,29.479633961744874,39.66726296958855,37.816017613870926,34.68040456859777,36.56962983349388,53.3832393009495,44.92500344020917,38.323448465666715,40.494082840236686,33.65591027934499,39.600522911793036,35.69113802119169,52.10478877115729,36.3515205724508,35.520366038255126,48.395280033026005
PRUNE2,40.92585823267641,29.07326764144946,38.53266052129688,39.60116020343293,36.010807374443736,40.16902415766052,36.07000953591863,32.06555944055944,47.45287666878576,30.10163699936427,21.034726636999363,28.88326446280992,30.900508582326765,43.06555944055944,27.17546090273363,40.72917991099809,29.602828989192627,34.73259694850604,36.73299427844882,39.14923712650985,41.36768912905276,35.2909249841068,38.658137317228224,45.46106166560712,44.88358232676414,28.183486967577878,46.394548633184996,42.80594405594405,47.454307056579786,24.07040686586141,30.935791481246028,27.73871582962492,29.485219326128416,42.088922441195166,34.534408773045136,23.552209154481883,54.061824539097266,36.84853782581055,40.54736172917991,43.86339796567069,42.68539415130324,28.22711379529561,50.095994914176735,38.570883661792756,37.6198347107438,41.198585505403685,36.338763509218055,37.756516211061665,42.1624284806103,28.456611570247933,40.0506993006993,43.653607755880486,23.579545454545453,37.014621741894466,48.474491417673235,30.32628734901462,35.156786395422756,33.043865225683405,41.60354418308964,38.99618563254927,37.010171646535284,22.473219961856326,32.975286077558806,25.38628417037508,44.410759694850604,34.875079465988556,31.074141767323585,40.9175937698665,37.05737444373808,38.351795931341385,27.270025429116338,26.669500953591864,44.75301970756516,45.833836617927524,36.29060712015257,46.58780991735537,29.325651621106168,38.92720915448188,28.6106166560712,30.896376350921805,27.321042593769867,39.246582962492056,35.05959949141767,41.700890019071835,31.56865861411316,47.54791799109981,48.461617927527016,31.379688493324856,46.229418308963766,44.88707883026065,32.292355371900825,35.266449459631275,24.75429116338207,39.92999046408137,35.01041004450095,45.75381436745073,33.46630642085187,38.65988556897648,49.440638906547996,34.57294977749523,39.733550540368725,23.172600127145582,29.212889383343928,19.509774316592498,43.57557215511761,39.87714558169104,28.334869675778766,28.830816910362365,36.35751748251748,33.36260330578512,36.01152256834075,37.61109345200254,52.606087094723456,46.514462809917354,38.37118563254927,37.228623649078195,32.01048951048951,37.78726954863318,32.48315321042594,48.12817863954228,34.55713604577241,37.648363000635726,46.96900826446281
ASPM,88.27289427757876,64.38973087168182,65.17507118581794,66.32690364655093,57.18370533664003,83.01625792229264,81.78809589418573,67.57279323964362,77.38036189951318,63.66978965738955,66.61045283365482,59.57729402039129,64.7439147607238,77.82566363552861,91.10434463121153,65.55497382198953,104.5469826398457,75.86442546155966,62.361440249839255,71.74125103334252,89.41691926150455,74.89648204280334,86.13410489574723,74.98319096169743,72.20538256636355,58.89363461008542,115.45329291815928,71.32047395976853,72.69550840451915,49.22448792137411,61.87067144300542,58.32690364655093,80.83429778635069,69.87544778175806,63.8834389639019,44.63038486268026,108.48268577202168,77.50408744374025,66.1179388261229,95.82841921557821,88.72361532102508,60.703040323321396,121.33792596674934,66.53522549830073,75.7255442270598,69.39303756774135,109.03077064388721,59.14200422522274,68.89831909616974,61.78304399742812,82.56930283824745,76.38164783686966,49.803710847800126,61.577018462386334,94.78203361807661,65.43850463855975,70.58243776981722,66.58859189859466,70.00440892807936,59.6411316248737,64.39092495636999,135.22724350142371,65.91255625975934,67.51510976393864,74.3717277486911,70.86075135482686,85.44989436943143,66.34656011757141,76.80371084780013,80.15008726003491,53.161385138238266,54.98190502434096,73.55221824193993,77.82419399283549,61.9981629466336,71.70368329199964,73.51510976393864,65.22513089005236,59.62698631395242,83.32451547717461,57.72765683843116,63.26122898870212,58.169468173050426,67.15523100946082,97.25930008266741,75.67484155414715,78.93359052080463,64.27647653164324,102.62349591255627,75.08248369615137,65.7572333976302,62.61605584642234,51.65086800771562,68.45127215945624,62.80756865986957,82.6535317350969,65.14191237255443,83.737944337283,98.28060990171764,61.68852760172683,69.94231652429504,51.77542022595756,61.193349866813634,40.70974556810875,87.69027280242491,60.518324607329845,62.81023238725085,60.1285018829797,59.91549554514559,97.37007440066134,73.76770460181868,82.10131349315698,86.35179571966566,86.50059704234408,64.25939193533573,59.835491871038855,61.56094424543033,64.4392394599063,63.03710847800129,77.3262606778727,68.08275925415633,76.74740516211996,83.52998989620649
CDH10,67.96247818499127,48.196044211751015,51.096276905177426,51.14426992437463,47.96276905177429,64.95084351367073,62.17975567190227,59.4543339150669,61.59482257126236,51.66259453170448,44.552937754508434,44.326352530541016,51.14107038976149,66.24200116346714,54.73676556137289,48.826352530541016,86.19575334496801,58.09016870273415,47.710587550901685,58.446771378708554,75.23938336242001,60.42670157068063,66.26265270506109,65.33246073298429,57.83391506689936,47.76468877254218,79.70680628272251,56.268760907504365,57.13408958696917,39.97876672484002,50.03606748109366,42.996509598603836,48.10500290866783,58.65735892961024,46.9173938336242,36.394706224549154,58.831588132635254,65.88219895287958,52.4805119255381,68.82431646305992,57.118382780686446,47.89848749272833,81.53315881326353,54.023851076207094,58.24694589877836,53.46887725421757,82.67481093659104,49.47091332169866,55.708842350203604,45.23094822571262,51.57969749854566,60.1433973240256,38.682082606166375,52.188772542175684,77.72076788830715,50.481675392670155,55.975567190226876,52.2021524141943,53.68324607329843,52.10093077370564,49.62478184991274,71.19400814426993,58.61169284467714,40.72716695753345,58.4304828388598,53.8586387434555,51.65066899360093,56.93804537521815,60.53577661431065,65.30744618964515,44.83682373472949,42.952879581151834,56.26701570680628,65.33391506689937,50.83827806864456,56.760907504363004,36.82053519488075,58.251890634089584,49.44299011052938,49.016870273414774,46.10063990692263,50.17713787085515,47.23851076207097,52.31355439208842,52.189936009307736,61.49185573007563,64.50959860383944,52.46276905177429,81.28214077952298,55.912449098312976,52.63379872018616,50.25159976730657,41.36503781268179,56.653286794648054,51.54363001745201,60.4022687609075,56.62652705061082,64.97091332169866,58.65910413030832,42.46567771960442,59.52966841186736,43.3760907504363,56.76148923792903,32.79959278650378,70.23414776032577,52.62041884816754,49.42699243746364,43.1977894124491,50.896451425247236,47.109947643979055,55.87201861547411,60.17888307155323,70.86881908086096,54.65474112856312,52.76003490401396,49.50901687027341,46.03374054682955,52.05788248981966,53.46509598603839,64.32489819662595,57.65590459569517,63.75799883653287,65.0127981384526
PXDNL,51.70905306971904,39.06222684703434,43.091779396462016,40.82913631633715,38.06930280957336,49.679292403746096,45.47950052029136,40.509053069719045,51.01123829344433,36.667429760665975,36.4,35.278876170655565,39.87908428720083,50.71821019771072,44.54401664932362,42.04536940686785,60.2888657648283,47.58751300728408,40.03975026014568,45.44391259105099,43.32570239334027,45.049323621227884,47.494484911550465,48.031841831425595,47.487408949011446,36.00020811654527,55.079916753381895,46.75920915712799,51.120291363163375,31.568990634755462,37.61831425598335,34.46618106139438,36.011446409989595,46.11155046826223,37.50613943808533,28.618522372528616,51.996253902185224,48.55130072840791,43.728199791883455,52.671800208116544,45.592715920915715,35.4,64.06160249739854,43.81103017689907,37.32154006243496,45.60915712799167,50.019354838709674,42.285744016649325,47.00437044745057,36.02289281997919,45.729032258064514,47.497814776274716,30.007075962539023,41.622684703433926,54.47721123829344,40.29927159209157,45.65411030176899,38.59167533818938,46.36357960457856,42.421852237252864,35.59021852237253,55.08387096774194,41.84287200832466,43.16940686784599,47.58709677419355,43.96649323621228,38.54630593132154,45.31800208116545,44.69073881373569,49.64953173777315,33.19687825182102,34.5159209157128,47.339438085327785,52.07200832466181,41.83517169614984,48.90842872008324,52.3477627471384,43.57065556711758,38.89760665972945,35.89032258064516,34.468678459937564,43.89406867845994,38.30385015608741,44.39729448491155,40.09469302809573,49.43475546305931,52.546097814776275,40.863683662851194,59.618522372528616,46.051196670135276,43.76607700312175,39.4840790842872,32.54901144640999,44.271800208116545,42.94484911550468,51.06409989594173,41.118834547346516,47.67887617065557,42.674505723204994,35.05931321540062,43.58605619146722,28.763163371488034,40.45411030176899,24.53277835587929,53.37148803329865,40.69177939646202,39.08033298647243,35.47825182101977,39.93444328824142,52.88824141519251,46.464308012486995,47.12903225806452,57.693860561914676,48.50967741935484,42.60145681581686,42.34006243496358,34.419562955254946,39.491571279916755,41.87367325702393,53.604162330905304,43.85140478668054,46.46326742976066,50.17377731529657
KIAA1109,89.76233014594867,64.12172873678912,64.33285103170608,62.889028686462005,58.473766985405135,84.95621540010066,80.15809008555611,69.49654001006543,77.56221690991444,63.40475591343734,56.435895822848515,57.078636134876696,68.39915702063412,63.87890035228988,59.62562908907901,60.11021640664318,107.51113487669853,78.20728485153498,58.52352793155511,68.39362103673881,64.6156265727227,77.28189481630599,86.90865626572723,65.66494715651736,69.23628585807751,62.93375691997987,103.62745344740816,71.88928032209361,72.23943130347257,54.29516859587318,63.78629843985908,56.89513085052843,63.13160543532964,66.7220055359839,52.235845495722195,44.59373427277303,61.47804479114242,78.9495470558631,65.82706341217917,94.57744086562657,70.39620030196276,62.67645948666331,107.63550578761952,67.2128837443382,79.08203321590337,69.95206341217917,89.8611600402617,58.45017614494213,70.50824106693508,60.78069954705586,65.87902617010569,75.40236537493709,50.02975591343734,61.43797181680926,95.53340463009562,64.66802969300453,74.47968042274786,68.49679164569703,66.68224710619023,60.70413940613991,51.61361348766985,52.00585052843483,67.89217413185708,56.55881982888777,72.64009813789633,71.68017111222949,65.53824861600403,64.79435078007046,79.62713890286865,82.09650226472068,56.170483140412685,57.586877201811774,71.79252642174131,78.5604554604932,62.53441117262204,70.24798691494716,63.258429793658784,63.44061399094112,63.2547181680926,59.7405007549069,58.613173125314546,60.67557876195269,56.85738550578762,63.823037242073475,95.95577503774534,74.75597634625063,78.82140161046804,67.9861600402617,107.51264469048817,67.11870910920986,68.14544539506794,58.113298943130346,55.63726723704077,68.09788626069451,68.51176396577755,71.74597382989431,67.91708605938601,84.90066683442376,58.656706089582286,52.55322093608455,65.10317060895822,52.49628837443382,68.74672873678912,41.569577252138906,92.59392299949673,62.958668847508804,63.16148716658279,56.26761449421238,61.353485153497736,75.23093860090589,75.69552088575742,85.70527176648213,84.63644942123804,61.36952692501258,65.08587065928535,59.05152239557121,52.422999496728735,63.176270759939605,66.31825616507298,75.82769250125818,75.18872672370408,80.69325616507298,79.18683945646704
LRP1,37.618446667114185,26.24890917634423,41.01872860307444,40.590924347184,39.10384641202927,38.34805665570249,32.813855138618514,31.71477478686984,44.52252131301604,30.983352352822717,22.825736725515206,30.208833993421493,31.90394039068269,54.54796267704907,32.83922937504195,43.54380076525475,39.84110894811036,32.95623279855004,32.00228233872592,39.13532926092502,47.900114116936294,36.73659125998523,34.676646304625095,53.82674363965899,44.78586292542123,30.77149761696986,37.072833456400616,43.399812042693156,50.09350876015305,23.184735181580184,31.228099617372624,27.49976505336645,27.666308652748874,45.7514264617037,39.40336980600121,22.40558501711754,42.45619923474525,38.021145197019536,45.00369201852722,38.510773981338524,42.02403168423172,29.166744982211185,38.355373565147346,40.83150969993959,24.7163858494999,43.18292273612137,36.4143116063637,44.78854802980466,44.267839162247434,29.93025441364033,27.153722225951533,43.104719070953884,25.340404108209707,37.33731623816876,40.484527085990464,29.372692488420487,38.72954286097872,29.472376988655434,52.08693025441364,38.942337383365775,35.614620393367794,19.45720614888904,35.45700476606028,32.42196415385648,42.33986708733302,38.38329865073505,29.02544136403303,41.40075182922736,32.02812646841646,38.580788078136536,28.500704839900653,27.715177552527354,50.13224139088407,43.41256628851447,40.307041686245555,50.67302141370746,31.988319795932068,41.91414378733973,31.449419346177084,34.038665503121436,30.60213465798483,40.70000671276096,36.66510035577633,42.28441968181513,27.66865811908438,47.90769953681949,57.5587030945828,31.633684634490166,39.422232664294825,47.22850238303014,33.928307712962344,38.32610592736793,27.94777471974223,41.56608713163724,37.08169430086595,45.00832382358864,33.18627911660066,34.056118681613746,38.48835335973686,33.723031482848896,40.414647244411626,22.18540645767604,32.25233268443311,19.058870913606768,37.201785594414986,46.91105591729878,29.19138081492918,26.889642209840908,39.45848157347117,77.53097939182386,34.66201248573538,32.93414781499631,53.970665234611,46.16117339061556,37.98093575887763,42.45176881251258,33.217627710277235,41.0601463381889,35.95240652480365,54.99160904880177,34.805195676981945,32.90353762502517,47.5217829093106
LRRK2,96.06693601222975,66.9982528936449,67.35160515396375,65.27724393972483,60.89102424110067,87.02194802358594,89.04717187158768,72.17296352915484,79.03057436121424,69.10635509936668,44.51059183227779,59.91056999344835,70.76130159423455,73.91712164227998,70.99050010919414,65.59794715003275,109.80246778772658,85.76457741865036,54.34221445730509,73.84963965931426,65.35990390915047,79.90500109194147,92.82223192836864,66.91188032321467,72.64959598165538,64.43000655164883,103.76839921380214,73.57370604935575,76.28903690762175,54.998908058528066,68.7014632015724,59.97958069447478,66.02445948897139,72.95512120550339,56.735640969644024,48.55066608429788,62.75289364490063,86.13736623716969,70.04826381305962,100.21620441144354,66.0346145446604,65.64817645774187,97.58233238698406,70.19578510591832,73.0763267088884,72.2655601659751,100.89681153090194,64.15767634854772,75.04564315352697,61.93339157021184,58.50818956103953,75.66597510373444,53.47761519982529,67.44867875081896,103.27844507534397,69.32092159860231,81.28739899541385,72.46756933828347,70.05809128630706,63.6804979253112,56.00480454247652,57.21216422799738,70.4740117929679,76.76010045861541,74.00065516488316,74.00786197859794,71.60864817645775,68.96822450316662,86.2362961345272,87.33806507971173,60.1578947368421,62.325944529373224,74.16783140423674,81.18388294387421,63.848656911989515,74.177003712601,68.52358593579385,68.57010264249836,64.66946931644463,67.81316881415157,64.80978379558856,65.49333915702118,58.302140205285,64.91723083642717,75.44321904345927,74.39036907621751,79.71849748853461,73.67296352915484,115.90052413190654,72.49443109849312,72.52205721773313,60.28106573487661,57.80694474776152,72.76304870058965,71.22122734221446,75.82954793623061,73.12349858047608,93.15374535924875,59.8784669141734,55.143481109412534,68.12459052194802,54.41209871150906,70.51244813278008,44.893535706486134,94.88294387420834,65.98886219698625,67.3819611268836,62.22865254422363,65.53581568027954,125.53920069884254,78.55601659751038,88.88174273858921,87.85488097837955,64.91461017689451,68.92083424328456,62.30366892334571,53.926403144791436,63.65549246560384,67.03930989298973,79.59794715003275,78.177003712601,87.85324306617166,79.35782922035379
CACNA1C,48.98963185574756,37.55627347858753,51.94785875281743,47.703080390683695,49.87963936889557,50.15582268970699,46.171600300525924,40.30503380916604,56.21111945905334,39.50007513148009,29.95356874530428,37.0175807663411,42.39894815927874,60.664613072877536,47.45679939894816,51.046581517655895,55.95867768595041,43.741547708489854,40.044477836213375,48.32381667918858,57.54244928625094,48.03320811419985,46.11885800150263,63.54019534184823,55.565138993238165,39.917054845980466,52.76814425244177,54.479789631855745,60.30067618332081,30.22809917355372,40.78136739293764,37.17490608564989,36.82434259954921,55.1893313298272,44.887903831705486,29.359278737791133,52.40030052592036,50.059654395191586,53.87858752817431,53.204357625845226,54.983320811419986,41.17190082644628,54.0954169797145,48.75432006010519,35.1160030052592,55.098121712997745,66.64928625093914,50.639068369646886,55.98602554470323,39.241773102930125,37.633959429000754,56.42464312546957,33.75071374906086,46.926070623591286,54.90488354620586,39.27152516904583,47.07888805409466,40.2374154770849,61.52892561983471,49.054996243426,43.384372652141245,28.464763335837716,46.552967693463565,43.43936889556724,54.33809166040571,49.40510894064613,40.623140495867766,55.26821938392186,43.52712246431255,51.20871525169046,35.852892561983474,36.47813673929377,60.04688204357626,56.16048084147258,51.45003756574005,62.05184072126221,40.08204357625845,51.23546205860256,42.565138993238165,45.388429752066116,36.7885800150263,50.148610067618336,44.30277986476334,49.65093914350113,37.588880540946654,59.438767843726524,67.83395942900076,39.6969196093163,54.54290007513148,59.54785875281743,45.10398196844478,47.21472577009767,35.42854996243426,52.92396694214876,47.73403456048084,56.28234410217881,43.91810668670173,47.5343350864012,48.7350864012021,41.8664162283997,49.00060105184072,28.45740045078888,44.763636363636365,25.39594290007513,54.383621337340344,56.87963936889557,41.92982719759579,37.23185574755823,50.3648384673178,114.97595792637115,43.730879038317056,46.78827948910593,67.87738542449286,55.83771600300526,46.92081141998497,49.569797145003754,41.126521412471824,49.338692712246434,48.2,66.99729526671675,45.9977460555973,44.66626596543952,57.67738542449286
