,04b79e3e-70bd-4251-bc84-3c63215be8d1,06723dbf-d641-487a-aa5f-dd2be8e9b285,0a2b41db-856c-4ef9-99e1-e343b6b4b60e,0b1394da-3e8c-45d9-9e24-120ca96251ce,13959442-2d75-4cb9-8d9b-5237d4432011,13bb423e-3232-4409-8c7c-91bfbd688866,19494837-3460-4f6e-bb12-99acbaefed99,19a1ef7a-0f0a-490d-9286-e6f8a6441833,1d5255fa-7616-42a6-8a6b-63a76c98b36a,221a1c9a-c8d4-44e1-a808-ae6d5f23526d,23e63c6e-2cf3-4b4d-ad9b-55e9bcdb8424,2bb83c94-f797-496d-9b3c-1ba431f5a1ce,37373758-bb5b-4324-a1ed-c86bac68a5ba,39e8284e-0221-4226-a554-3437a3fd9a9b,41f6d13d-aaaa-4ef4-bdd3-5b2251173857,475f84ad-2584-450f-92d1-e10309d8073e,48ad6981-df11-4452-a37d-3397736fcdcf,4cfff5c0-73ee-485e-ba7e-321d0fd1cea2,4d6c7148-8362-4068-a43d-f56874fc2c23,4f3fbed7-15c3-4921-882a-4f89dc9082f6,585f7f4d-0ef8-42d3-bd41-0b5c29c9f323,58dc9321-1649-4884-a25b-a64c613cf428,5a89fdaa-f63b-4ea3-91be-7767148c68b5,5ae6c31e-eae4-4255-b559-56d901e00b1c,5b753f81-f887-4aaf-aedf-e989cba28514,5b85ea9f-c814-4545-a6f0-94f098b06db1,5c45b2be-7fdd-4665-9371-cda9cb99977e,5d8da7f2-8875-4cdb-8306-20cd4557cc62,5e769bda-726f-4216-8994-4e43809890b9,60165b6c-4a94-4d86-802b-fcff7afa83d4,60917047-08f1-4023-a1b8-89235364ec78,68045c4c-6858-4507-8054-549d42612069,68da9861-b87d-4451-ba26-26be8aaa362d,6a7108d7-bd17-4a58-9640-c9225431ce4c,6eb355bf-463b-4f35-ae49-23ef0418e227,76f510ec-2f9e-4469-acaa-fd0e97486954,7802fbcd-e56e-4fd8-9370-7da1b0d38a08,80b25efb-c216-4d42-aa40-3976ffe5ea47,83070457-32ee-445f-908f-9ebb68f27c59,84fc5eb0-7037-4df2-840f-6dcc4948fd8f,85e8cd6d-2c9f-4090-ba79-70b1ac1719ae,8d8666e3-9b09-49d4-9f0e-16ccc36b3454,964b182c-c84c-45c8-8af6-d81c5327a46c,99b3815a-1385-4845-85df-2d9733eb2846,9ae81312-0a0c-4961-9cb9-f9e3335c8a83,9dccbc01-402d-40c6-b21e-7457965b3151,9ecb6489-6c4c-499f-8afb-db1ef503d596,a01c376e-178a-4347-b435-932a492e67b0,a1b7a52c-a1d2-47c4-a7f2-2b4e3077ddce,a71f1add-ed27-4c38-8de1-7f3206e1e36b,ac059c90-c0aa-406e-97d3-14e81723c68d,b852b909-b990-4d0c-ae1b-e2af41a27d2c,b89eea94-b74b-4834-b152-620f125f282b,b9c04655-5c66-4a77-aa5f-4eb05d66cbdd,be124f8b-d356-43e8-b956-cc286d67519f,c322afe8-f04e-4e59-883b-9fa003ff8372,c390636e-aac7-4a13-86b6-ffe18c5cedf8,c46951bf-aee8-43b2-a91e-206af0e07863,c5859949-dee8-443a-a1a1-af1bf98671f8,c5daf469-11eb-41e8-9e38-15c39937cf04,c5e15197-cad3-48ab-9675-84e366a00ec2,c6bed926-1efb-4c0f-8725-58d96117ef12,c72bc3ce-d7b8-481f-98db-71871a7cb2f7,c778cd10-999f-4f9c-80a6-5296ae35ecf1,cfc23ae0-f005-48a6-8e96-6358fac98a73,d21e40b2-7d13-42a7-b720-529bcfd9c63f,d4adaa2a-8bb4-4563-8d79-417d26b51e91,d73cce86-7238-4db1-9a2b-154646f9641b,d8a41cb9-8142-47b9-b4f2-0e133dc073d9,deea1e04-9ddd-44ab-9d91-866a4f0fc237,e34ee008-15ab-4910-b114-b359574bd20b,e5a15476-6c18-4a78-82dd-15ae1a5f6f1b,e5c155f5-62b4-4083-86f9-f42540b4c653,e78fc967-8bea-468a-81b0-1fde52b961d0,e9dca749-85e2-4f8e-ae69-6181534af6ac,edba656c-4749-4c75-befc-968a47da8656,ef5564a3-4672-468e-b0c3-513fd6e70243,f6c60524-811d-4f7b-a481-a69671805189,f8aa6c65-41a0-4801-9de2-562bd09e8951,f8e1e0e9-ef30-4cd6-81aa-c29626a51e3c
PEG3,39.47197065229852,56.5032672245787,40.14284076579158,51.46176774045627,65.60690129542589,47.571363063166345,39.880316404906566,42.32500286598647,49.71706981543047,49.028545225266534,48.10936604379227,50.41247277312851,59.96813023042531,41.14272612633268,45.545798463831254,43.44571821621002,47.62180442508311,42.91310329015247,39.6603232832741,41.56803851885819,44.2414307004471,49.2416599793649,52.375444227903245,53.55279147082426,58.825633383010434,46.74595895907371,45.27845924567236,48.22480797890634,62.11395162214834,51.71638197867706,56.317436661698956,55.19305284879055,47.43459818869655,50.2744468646108,43.69563223661584,46.82677977759945,51.08368680499828,49.64186633039092,52.00470021781497,63.957239481829646,52.89934655508426,43.047575375444225,44.19293820933165,38.473690244182045,42.004356299438264,45.83434598188697,48.81359623982575,60.12266422102488,53.02143757881463,37.114868737819556,42.18434024991402,66.49054224464061,44.705949787917,46.52722687148917,59.79364897397684,42.08105009744354,45.19557491688639,43.111429554052506,52.84260002292789,62.967213114754095,48.86667430929726,51.31823913791127,56.07772555313539,53.77266995299782,39.01822767396538,47.04023845007452,47.33291298865069,45.79147082425771,42.72796056402614,41.87332339791356,43.24750659176889,38.51278229966755,47.18812335205778,57.14478963659292,40.364324200389774,57.71661125759486,46.396537888341165,37.29932362719248,47.089074859566665,53.90668348045397
NALCN,53.19785860956292,75.60002933411558,75.18304488119684,64.17659137577002,83.45379876796714,61.38281020827222,54.61425638017014,56.15532414197712,59.8772367263127,67.82927544734527,59.04869463185685,43.14461718979173,75.18377823408625,53.709445585215605,57.99970665884424,55.75022000586682,64.04414784394251,55.89249046641244,52.00132003520094,55.30859489586389,32.6031094162511,63.85420944558521,69.68847169257847,66.38765033734234,73.22293927838075,77.84423584628924,58.27720739219713,63.67615136403637,80.36080962158991,68.24405984159577,77.04796127896743,81.38295687885011,59.34276914051041,62.20416544441185,57.554121443238486,64.55617483132883,70.43077148723965,69.01789381050162,65.11410970959226,84.12261660310942,69.65517747139924,56.08330888823702,81.04796127896743,50.12320328542094,53.02669404517454,87.31079495453213,61.094602522733936,78.71003226752714,69.46699911997653,92.8093282487533,56.00513347022587,86.47638603696099,57.686124963332354,60.13215019067175,81.14388383690232,55.57216192431798,68.96127896743913,57.82619536520974,66.52933411557642,75.90451745379877,62.23305954825462,66.31226166031094,78.74156644177178,68.39835728952772,48.14300381343502,57.910530947491935,55.29744793194485,60.648870636550306,55.879876796714576,50.59196245233206,57.32839542387797,52.114989733059545,56.15825755353476,71.02068055148138,51.94221179231446,74.74669991199765,77.74992666471105,51.224405984159574,60.476239366383105,72.89879730126137
TENM3,29.54047356828194,41.56497797356828,28.616189427312776,34.321310572687224,45.71677679882526,43.700715859030836,31.062224669603523,30.864353891336272,33.26257342143906,38.92419236417034,32.523403083700444,36.484214390602055,29.34498898678414,45.610223935389136,32.696953010279,31.75348751835536,35.210077092511014,31.21283039647577,27.839482378854626,31.347191629955947,19.739078560939795,35.40758076358296,38.256057268722465,36.64179515418502,41.91914464023495,33.1148127753304,33.67823054331865,35.147577092511014,45.91501468428781,37.26752936857562,41.198237885462554,42.449430983847286,33.03074522760646,35.02220998531571,31.674743024963288,34.274687958883995,37.975128487518354,35.7053046989721,35.992474302496326,47.71824522760646,38.15904919236417,31.456406020558003,30.591226138032305,28.716409691629956,29.57470631424376,35.2779919236417,33.87600954478708,43.848384728340676,38.26220631424376,38.96870411160059,32.08810572687225,47.99632892804699,31.851688693098385,35.18098384728341,43.69493392070485,30.538454478707784,19.725679148311308,31.322870778267255,57.002202643171806,45.29598017621145,18.00679148311307,24.836820851688692,41.132525697503674,38.797356828193834,27.32874449339207,33.07057635829662,31.743575624082233,32.29313509544787,30.583516886930983,29.63023127753304,47.127202643171806,29.259361233480178,31.76413362701909,39.7307268722467,29.604625550660792,41.122338472834066,32.662628487518354,29.216226138032305,34.368116740088105,39.25330396475771
RIMS2,83.99243140964995,93.09460737937559,73.2864238410596,57.99597918637654,140.49716177861873,117.38552507095554,51.88552507095554,51.943945127719964,81.12913907284768,174.032876064333,94.79091769157995,62.118259224219486,92.82757805108798,75.73580889309366,56.6244087038789,102.37511825922422,90.23391674550615,52.74810785241249,49.93543046357616,110.2457426679281,117.02625354777673,55.97658467360454,100.35832544938505,61.53453169347209,75.62535477767265,89.96877956480606,101.00662251655629,107.46523178807946,116.66721854304636,119.29162724692526,102.22871333964049,233.5229422894986,112.89971617786188,63.3980605487228,51.87464522232734,91.84697256385998,79.96901608325449,107.24077578051087,164.92360454115422,154.17265846736046,66.02341532639547,67.65373699148533,77.60525070955535,46.50473036896878,48.948202459791865,138.52152317880794,98.06054872280038,70.11140018921476,96.05203405865657,88.64829706717124,107.53784295175024,124.24053926206244,106.52956480605488,152.1700567644276,76.35548722800378,95.72918637653737,81.54139072847683,55.012535477767265,63.91982024597919,108.37322611163671,150.77459791863765,64.04635761589404,114.4247871333964,147.484389782403,64.89214758751183,83.4023178807947,76.56788079470199,138.620151371807,152.3483916745506,51.74124881740776,156.84626300851465,49.76442762535478,75.53382213812678,141.82024597918638,62.1631977294229,105.03192999053927,89.53311258278146,71.60052034058657,134.25141911069065,240.34697256386
LRRK2,65.12415374535925,93.37300720681371,51.60668268180825,61.834243284559946,74.58801048263813,57.81284123170998,49.770583096746016,50.69775060056781,59.159095872461236,60.42913299847128,49.907621751474124,57.23389386328893,46.21511246997161,48.941362742956976,55.790674819829654,49.831295042585715,58.93633981218607,52.307709106791876,47.569229089320814,48.97008080366892,48.37267962437213,59.406639004149376,62.227014632015724,60.677331295042585,67.37944966149814,72.16717623935357,52.67427385892116,58.86918541166194,74.13649268399213,59.89670233675475,72.38982310548154,77.36143262721119,54.204411443546626,58.377156584407075,51.55918322777899,57.47783358811968,65.8072723302031,65.80093906966587,61.78270364708452,74.58429788163355,64.60482638130595,50.3941908713693,53.35673727888185,45.09259663682027,47.88141515614763,54.77506005678096,55.24797990827692,68.1093033413409,63.57392443765014,66.50458615418214,51.70015287180607,77.50054597073597,56.21249181043896,52.388731164009606,71.0087355317755,50.2100895392007,57.48645992574798,52.925966368202666,65.5295916138895,73.33249617820485,57.98362087792094,41.28521511246997,76.53221227342215,65.26086481764577,43.24273858921162,56.075016379122076,53.19403799956322,54.68333697313824,50.49628739899541,47.57337846691417,52.00709761956759,47.39047827036471,54.83970299191963,68.01441362742958,49.44682245031666,68.68988862196986,54.577855426949114,24.46789692072505,55.70069884254204,69.98525879012885
COL6A3,50.46692715601451,95.90445622848637,63.164759512512795,64.76667596985766,83.3138896641548,63.73402176946693,52.74983719415759,54.34710205600521,60.32682109963717,70.92073681272676,60.94818122616057,66.27332775141873,76.16131733184483,51.43008651967625,60.23053307284398,56.84286910410271,63.04149223183552,58.60061401060564,51.72425341892269,56.86696436877849,58.83319378546842,36.64750209321797,67.49651130337706,69.02604893478463,76.5537259279933,76.6993208670574,77.55912177877012,64.52302539771142,80.38384966043353,67.97450925667503,73.96985766117778,73.69904177132757,60.460787049958135,64.83049586008,59.056656433156576,60.27342078332868,67.1684807889106,63.083449623220766,68.90147920736813,86.77318820355381,66.23741743417992,62.493348218438925,28.319564610661455,55.14066424783701,55.64368778491023,61.46729928365429,63.19313424504605,79.6871336868546,68.97460228858499,111.16503860824263,54.8878035166062,87.58945018141222,56.024653456135454,62.2188110521909,81.27481626197786,57.198995255372594,64.92371383384501,57.00446553167737,65.31826216392223,80.11740627035073,62.330449344125036,48.182621639222255,68.9732068099358,68.33351939715322,70.12857009954415,59.56684342729556,59.72527676993209,58.891245697274165,58.126337333705465,55.19806493627314,58.86277793283096,50.641175923341706,57.77058331007535,73.03386361522001,55.57651874592985,74.6327100195367,64.52888640803796,27.332961205693554,60.11442924923249,70.65801469904177
CACNA1E,31.980460715754834,46.22408473879062,33.22223364870424,40.290826820238586,52.58700123406006,40.56663924310983,33.66752365281777,33.3437885643768,39.55656108597285,43.63050185109009,39.12978198272316,42.35458658988071,62.42482517482517,32.635540929658575,36.55728095433978,35.40785684903332,46.26378033730975,36.74280131633073,33.56499382969971,35.112505141916905,36.65580008227067,38.436137392019745,41.69590703414233,45.1796585767174,48.812114356232,39.660427807486634,37.94179350061703,41.27087618264089,51.500925545043195,42.44251336898396,46.75473056355409,44.86631016042781,38.897573015220075,41.580728095433976,35.257095845331136,38.91022213081037,41.20855614973262,39.279514603044014,56.12947346770876,55.207013574660635,41.565919374742904,35.93438914027149,35.46277252159605,34.70218017276841,34.93387494858083,39.51470588235294,40.065816536404775,50.10684903331962,43.50483340189223,43.75154257507199,33.96493212669683,55.43510900863842,54.21812011517894,38.5041135335253,58.2306663924311,35.57363225010284,40.66896338955163,35.85314685314685,40.0228301110654,50.34265734265734,40.72490744549568,39.135540929658575,42.759049773755656,44.07712875359934,31.37607980255039,38.04123817359112,55.85767174002468,36.03095433977787,53.271287535993416,34.80244755244755,38.14777869189634,32.88821472645002,35.6682435211847,45.85252982311806,32.14870423693953,48.0668449197861,40.504422048539695,61.82106129164953,37.38646647470177,41.6717400246812
NBEA,26.46496987139131,38.61390412806907,39.310369637557336,30.795395269358757,42.0896663369008,29.817069880384928,26.421980393920318,27.385106574332223,30.330425397967442,32.33339329076356,28.795934886230775,20.373864556165124,38.46739814731541,27.891896753305154,29.559942440866983,26.72695386275744,31.70842701681806,28.22250202356327,26.343376202895943,27.17906286536559,14.919237341487543,31.877686842341937,34.000359744581345,32.230776148934254,36.307131936325206,39.13526396258656,29.52594657792967,31.248043888838925,40.791438078963935,33.951974098390146,38.24165842252001,40.15415055310729,29.744401474952785,31.465059807536647,28.213688281320263,32.67982732260095,33.80411907545643,35.73163054231495,30.3474233294361,41.350031477650866,34.90943430164583,26.277003327637377,28.809245435740625,23.118805647989927,25.43088407230866,29.94387984530983,29.87399946038313,38.62370716791078,35.33150463171148,46.92274485115568,28.142099109632163,43.074647000629554,27.94873639715802,30.19687022214228,38.32799712204335,26.84036334202716,32.75897113049734,28.30911053152262,33.31306772191744,36.47270437989028,32.37791168270528,33.02617141829301,40.11277992625236,34.388254339419014,22.953862757442216,30.09191474053422,27.452109002608147,29.92643223311449,28.327637377462,25.557064484216205,27.206763198129327,26.7664358305603,28.210540516233475,36.634139760769855,26.975357496177715,37.373864556165124,38.31693497616692,26.182930119615072,31.06115657882903,38.5223491321162
PXDNL,53.371071800208114,61.17023933402705,47.23870967741936,38.472840790842874,71.86285119667014,76.42497398543185,33.75941727367326,31.531737773152965,55.18834547346514,112.84703433922996,58.096774193548384,42.74755463059313,61.06784599375651,49.62414151925078,37.95587929240374,68.04557752341312,49.4955254942768,36.90010405827263,33.273257023933404,73.37273673257025,80.64682622268471,38.056191467221645,67.25577523413111,40.19771071800208,49.96982310093652,59.31675338189386,50.49073881373569,71.29510926118627,49.70884495317378,79.57585848074922,48.899063475546306,140.51508844953173,76.90697190426638,38.68054110301769,34.63142559833507,37.040166493236214,45.30197710718002,65.56690946930281,111.58106139438085,102.4942767950052,42.46763787721124,34.107180020811654,35.29115504682622,33.24765868886576,33.26222684703434,37.43746097814776,47.73673257023933,47.89677419354839,62.683454734651406,59.07970863683663,32.997502601456816,65.93423517169614,34.90093652445369,106.12882414151925,49.92528616024974,34.61956295525494,52.49136316337149,35.20270551508845,40.38751300728408,48.03995837669095,99.77856399583767,40.192924037460976,61.93590010405827,94.75234131113423,42.53444328824141,51.19625390218523,52.025390218522375,85.71779396462018,94.73340270551509,33.82414151925078,101.4174817898023,31.20853277835588,33.64557752341311,86.73548387096774,40.50676378772113,43.546097814776275,58.37627471383975,47.30551508844953,83.43642039542144,145.49635796045786
MXRA5,16.712141325436537,70.64586949862147,25.640661697130604,34.279076891657304,39.9497600326764,59.329929541509244,52.03216583273767,26.624834065148576,30.731747166343307,34.18237516593485,28.708771571530686,61.80475850097008,25.28071071173287,76.44756458694987,27.385070969059534,34.47911773715919,28.85693862963341,27.67201061983049,26.876340243030736,30.631675686715,52.91483712856122,29.402838762381293,32.136015521290716,33.226998876748695,36.841213111406105,40.35658123149188,27.638415194526704,30.889921372408864,38.75247625855203,32.2247523741448,35.1973858878791,34.39589502706014,30.99591544981109,29.939140202185236,28.602266925354844,31.471969774328603,58.4297967936281,30.28367201061983,35.575615235372204,39.44950474828959,30.942714183600533,53.71316246298377,50.6168691922802,48.487899520065355,25.94720718880833,29.39558868579598,29.527111201878892,77.20024507301133,65.79189216787502,43.80026549576228,50.68671500051057,40.17257224548147,27.406004288777698,29.010926171755337,60.330031655263966,52.14949453691412,32.25109772286327,53.3113448381497,34.546308587766774,77.73736342285306,29.269273971203923,44.081997345042375,34.60778106810987,31.238231389768202,22.514142755029102,29.51924844276524,56.68610231798223,27.13284999489431,55.04268354947411,42.422853058306956,28.458899213724088,24.064229551720615,28.722556928418257,33.751353007250074,24.276524047789238,35.71643010313489,30.29960175635658,48.75513121617482,31.29255590728071,32.64025324211171
