#hg38.knownCanonical.chrom	hg38.knownCanonical.chromStart	hg38.knownCanonical.chromEnd	hg38.kgXref.kgID	hg38.kgXref.geneSymbol
chr1	169853073	169893959	uc001ggs.5	SCYL3
chr1	169795048	169854080	uc001ggp.4	C1orf112
chr1	27612063	27635277	uc001bom.4	FGR
chr1	196651877	196747504	uc001gtj.4	CFH
chr1	24357004	24413725	uc001bja.4	STPG1
chr1	24415793	24469307	uc001bjh.4	NIPAL3
chr1	33013043	33036992	uc001bwp.3	AK2
chr1	23019447	23083689	uc001bgi.3	KDM1A
chr1	54784550	54801198	uc001cxz.5	TTC22
chr1	112541789	112619189	uc001eci.4	ST7L
chr1	169722640	169734062	uc001ggm.5	SELE
chr1	6634167	6701924	uc001aof.3	DNAJC11
chr1	171090876	171117819	uc001ghi.3	FMO3
chr1	23506429	23531220	uc001bhe.3	E2F2
chr1	209583716	209613938	uc001hhe.4	CAMK1G
chr1	1702880	1724324	uc009vks.4	CDK11A
chr1	1751231	1778790	uc001aid.5	NADK
chr1	114716916	114757964	uc001efk.4	CSDE1
chr1	18631520	18748866	uc010oct.3	PAX7
chr1	11026522	11047223	uc001aru.4	MASP2
chr1	27725978	27763122	uc001boq.4	FAM76A
chr1	209756048	209782315	uc001hho.5	TRAF3IP3
chr1	231338047	231355023	uc001hur.5	SPRTN
chr1	171781701	171797717	uc001ghz.4	METTL13
chr1	41027201	41160898	uc057fhs.1	SCMH1
chr1	171248470	171285978	uc009wvz.4	FMO1
chr1	23743471	23759893	uc057dgm.1	TCEB3
chr1	23790969	23795539	uc001bht.4	LYPLA2
chr1	11806210	11843144	uc001ate.6	CLCN6
chr1	149928653	149936898	uc001etl.5	MTMR11
chr1	86468367	86500259	uc057ibt.1	CLCA1
chr1	86547077	86580754	uc009wcs.4	CLCA4
chr1	160115772	160143591	uc001fvc.4	ATP1A2
chr1	35557791	35566779	uc001bza.3	NCDN
chr1	24899517	24929877	uc001bjq.4	RUNX3
chr1	56929209	56966015	uc001cyp.5	C8B
chr1	193096467	193106114	uc001gta.3	GLRX2
chr1	150149979	150160065	uc001ett.4	PLEKHO1
chr1	93885204	93909410	uc001dqg.2	GCLM
chr1	68474151	68497221	uc001del.5	DEPDC1
chr1	32108037	32176568	uc001bug.4	KPNA6
chr1	160739264	160754821	uc001fwq.5	SLAMF7
chr1	156840062	156859018	uc010pht.3	INSRR
chr1	156806242	156816862	uc001fqd.3	SH2D2A
chr1	12167002	12209228	uc001att.4	TNFRSF1B
chr1	109213917	109238120	uc001dwu.3	SARS
chr1	69760174	70122243	uc001dep.4	LRRC7
chr1	171635416	171652683	uc001ghu.4	MYOC
chr1	244408493	244452134	uc001iaj.4	ADSS
chr1	77564499	77682658	uc001dhq.4	ZZZ3
chr1	16246838	16352454	uc001ayg.4	FBXO42
chr1	19312325	19329300	uc001bby.4	PQLC2
chr1	6625191	6635586	uc001aoe.3	THAP3
chr1	215622893	216423396	uc001hku.1	USH2A
chr1	39841050	39883506	uc057fcv.1	TRIT1
chr1	42153420	42155824	uc001chc.1	GUCA2B
chr1	186311651	186375325	uc001grv.4	TPR
chr1	12230066	12512047	uc031tou.2	VPS13D
chr1	40300486	40317294	uc001cfh.2	COL9A2
chr1	9234774	9271337	uc001apt.4	H6PD
chr1	7771268	7781432	uc001aol.3	VAMP3
chr1	7784702	7845177	uc057bxs.1	PER3
chr1	7847765	7853431	uc001aos.4	UTS2
chr1	7915893	7943165	uc001aot.4	TNFRSF9
chr1	70952431	71047788	uc001dfo.4	PTGER3
chr1	114772774	114780677	uc001efo.5	SIKE1
chr1	19303964	19312146	uc001bbw.4	AKR7A2
chr1	19251538	19260128	uc001bbs.4	MRTO4
chr1	36136571	36149469	uc001bzx.5	TRAPPC3
chr1	36224415	36305357	uc001cae.5	THRAP3
chr1	235166894	235328217	uc001hwq.3	ARID4B
chr1	241593123	241640361	uc001hza.4	OPN3
chr1	243256055	243500092	uc001hzw.4	SDCCAG8
chr1	210328251	210676296	uc009xcx.3	HHAT
chr1	10210804	10377937	uc001aqw.5	KIF1B
chr1	16367082	16398142	uc001aym.6	SZRD1
chr1	85018081	85048446	uc001dkp.4	MCOLN3
chr1	179293801	179358680	uc001gml.4	SOAT1
chr1	75796881	75913238	uc001dhd.3	MSH4
chr1	23778404	23788232	uc001bhq.4	PITHD1
chr1	183186287	183244900	uc001gqa.3	LAMC2
chr1	16921949	16972979	uc001azt.2	CROCC
chr1	203626560	203744081	uc001gzw.4	ATP2B4
chr1	203795705	203854124	uc001had.4	ZC3H11A
chr1	53851719	53889814	uc001cvu.4	YIPF1
chr1	53765459	53838860	uc001cvs.4	NDC1
chr1	234391312	234479103	uc001hwd.3	TARBP1
chr1	26787994	26798398	uc001bmz.4	PIGV
chr1	29236515	29325661	uc001bru.4	PTPRU
chr1	31259567	31296770	uc001bso.4	SNRNP40
chr1	102876466	103108491	uc001dul.4	COL11A1
chr1	111755304	111768016	uc001ebs.4	DDX20
chr1	111200770	111243439	uc057jho.1	CHI3L2
chr1	109548610	109618321	uc001dxz.4	GNAI3
chr1	117929767	117966542	uc010oxe.2	WDR3
chr1	88684221	88836255	uc001dmn.4	PKN2
chr1	15847863	15940460	uc001axk.2	SPEN
chr1	212363930	212414895	uc001hjc.5	TMEM206
chr1	42682426	42702349	uc001chs.4	YBX1
chr1	212285536	212361863	uc001hjb.3	PPP2R5A
chr1	43300992	43323108	uc001ciu.4	TIE1
chr1	43650157	43705515	uc001cjx.4	KDM4A
chr1	40691708	40771603	uc009vwd.5	NFYC
chr1	42430328	42456267	uc001chj.4	ZMYND12
chr1	197084127	197146694	uc001gtu.4	ASPM
chr1	160541097	160579473	uc001fwf.5	CD84
chr1	43363396	43368018	uc001cjb.5	ELOVL1
chr1	70144804	70205620	uc001der.3	LRRC40
chr1	92508695	92792404	uc001dox.3	EVI5
chr1	93866282	93879206	uc001dqf.4	DNTTIP2
chr1	218285286	218337983	uc001hlj.3	RRP15
chr1	2050469	2185395	uc001aiq.3	PRKCZ
chr1	220094101	220148041	uc001hmc.4	IARS2
chr1	229440259	229508341	uc001htn.4	NUP133
chr1	205712818	205750276	uc001hdb.4	NUCKS1
chr1	5992362	6101193	uc009vlv.3	KCNAB2
chr1	91680344	91886279	uc001doh.4	TGFBR3
chr1	92167051	92184723	uc010otd.2	KIAA1107
chr1	6415231	6419919	uc001amx.4	HES2
chr1	45343882	45491166	uc001cns.2	TESK2
chr1	44850777	44986610	uc001cmt.4	EIF2B3
chr1	22052626	22092923	uc057ddl.1	CDC42
chr1	22563563	22603594	uc001bfx.2	EPHA8
chr1	161663160	161678654	uc001gaz.3	FCGR2B
chr1	157830913	157841798	uc001frk.5	CD5L
chr1	186671790	186680427	uc001gsb.4	PTGS2
chr1	8861001	8878690	uc001apj.3	ENO1
chr1	17539834	17697869	uc001ban.4	ARHGEF10L
chr1	20806469	21050994	uc057daj.1	EIF4G3
chr1	178094140	178473422	uc001glq.4	RASAL2
chr1	169921325	170074695	uc001ggv.4	KIFAP3
chr1	171314233	171342084	uc001gho.4	FMO4
chr1	173714983	173786702	uc001gjc.5	KLHL20
chr1	208022241	208244320	uc001hgz.4	PLXNA2
chr1	21596220	21669306	uc001bex.4	RAP1GAP
chr1	202331656	202341980	uc001gxx.5	UBE2T
chr1	202348698	202592706	uc001gya.3	PPP1R12B
chr1	77695986	77759852	uc001dhu.5	USP33
chr1	236686507	236764631	uc001hyf.4	ACTN2
chr1	19339529	19485477	uc001bce.5	CAPZB
chr1	236142531	236208909	uc001hxq.3	GPR137B
chr1	1785284	1891117	uc031tmu.1	GNB1
chr1	51789190	51878805	uc001ctc.5	NRD1
chr1	1216930	1232031	uc001adi.5	SDF4
chr1	3652519	3736201	uc001akp.4	TP73
chr1	46557417	46604214	uc001cqb.5	MKNK1
chr1	100352490	100499460	uc001dtf.3	CDC14A
chr1	63593275	63660245	uc001dbh.5	PGM1
chr1	196943780	196959226	uc001gtq.2	CFHR2
chr1	113761831	113812476	uc001edq.4	RSBN1
chr1	113390971	113685923	uc001edj.4	MAGI3
chr1	198639039	198757283	uc001gur.3	PTPRC
chr1	201039513	201112566	uc001gvv.4	CACNA1S
chr1	201283451	201332993	uc001gwe.3	PKP1
chr1	227731223	227735283	uc057qak.1	JMJD4
chr1	161749769	161757162	uc001gbo.4	DUSP12
chr1	53921560	53945929	uc001cwh.4	HSPB11
chr1	67307363	67396900	uc001ddu.3	IL12RB2
chr1	215083123	215235217	uc001hkr.5	KCNK2
chr1	210232798	210246255	uc001hhy.4	SERTAD4
chr1	211326614	211374940	uc001hih.4	TRAF5
chr1	11934752	11975537	uc001atm.4	PLOD1
chr1	40373696	40423326	uc001cfj.4	SMAP2
chr1	39738881	39753707	uc001cds.3	PPIE
chr1	40258106	40294184	uc001cfg.5	ZMPSTE24
chr1	32222369	32231604	uc009vuc.4	EIF3I
chr1	31179744	31239554	uc010ogd.3	NKAIN1
chr1	31652246	31704319	uc001btk.2	COL16A1
chr1	32179685	32198285	uc001bui.4	TXLNA
chr1	108970213	109042113	uc001dwi.4	WDR47
chr1	111414313	111427777	uc001eba.4	OVGP1
chr1	108134035	108200358	uc001dvn.6	SLC25A24
chr1	159927038	159945596	uc001fur.2	IGSF9
chr1	51287257	51322210	uc001csl.4	TTC39A
chr1	51354262	51519328	uc001csq.2	EPS15
chr1	52372828	52404459	uc001ctt.4	ORC1
chr1	46188682	46198443	uc001cpe.4	POMGNT1
chr1	46247694	46278473	uc009vye.2	RAD54L
chr1	45803612	46036124	uc001cov.3	MAST2
chr1	236215554	236281985	uc001hxt.4	ERO1B
chr1	63367589	63438562	uc021oof.1	ALG6
chr1	23428562	23484178	uc001bha.3	ASAP3
chr1	27098814	27154910	uc001bnm.5	SLC9A1
chr1	192575726	192580031	uc001gsi.2	RGS1
chr1	26921725	26946862	uc001bng.3	NUDC
chr1	20499447	20508161	uc001bdi.5	MUL1
chr1	39560815	39576751	uc001cdm.3	PABPC4
chr1	21678578	21783606	uc001bfb.4	USP48
chr1	241497602	241519761	uc001hyx.4	FH
chr1	118883045	118989556	uc001ehl.2	TBX15
chr1	119711886	119744215	uc001ehz.4	PHGDH
chr1	35883208	35930528	uc001bzl.5	AGO1
chr1	36084074	36088275	uc001bzr.3	TEKT2
chr1	35736404	35769928	uc001bzi.4	CLSPN
chr1	218346234	218444619	uc001hlm.4	TGFB2
chr1	217426991	217631082	uc001hlf.2	GPATCH2
chr1	171185207	171211230	uc057ngi.1	FMO2
chr1	172533216	172611831	uc001giq.6	SUCO
chr1	6264272	6385813	uc001ams.4	ACOT7
chr1	86704575	86748184	uc001dlw.4	SH3GLB1
chr1	91500892	91525764	uc001doe.4	CDC7
chr1	85156872	85201046	uc009wcm.4	SYDE2
chr1	99645942	99694541	uc001dsg.4	PALMD
chr1	1335275	1349350	uc002quu.4	DVL1
chr1	147541411	147626216	uc031uul.2	BCL9
chr1	170663905	170739419	uc001ghf.4	PRRX1
chr1	54849632	54887218	uc001cyc.2	DHCR24
chr1	15526812	15571733	uc001aws.4	DNAJC16
chr1	220528556	220662458	uc001hmn.6	MARK1
chr1	175315193	175743770	uc009wwu.2	TNR
chr1	2321252	2391707	uc001ajb.2	MORN1
chr1	52602371	52609051	uc001cue.4	GPX7
chr1	174999732	175011710	uc001gkj.2	CACYBP
chr1	52927228	53051703	uc001cur.3	SCP2
chr1	176463170	176845605	uc001gkz.4	PAPPA2
chr1	178725164	178920103	uc001glz.5	RALGPS2
chr1	178849704	178871052	uc001gma.4	ANGPTL1
chr1	3812080	3857199	uc001aky.3	CEP104
chr1	179025895	179076562	uc001gmc.4	FAM20B
chr1	54053600	54106082	uc001cwt.2	TCEANC2
chr1	54026680	54053438	uc001cwp.4	TMEM59
chr1	53946076	53968168	uc001cwk.3	LRRC42
chr1	3630766	3650073	uc001ako.4	WRAP73
chr1	179550538	179575933	uc001gmq.5	NPHS2
chr1	54200166	54218383	uc001cxa.4	MRPL37
chr1	6221192	6235940	uc001amk.4	ICMT
chr1	6185019	6199612	uc001amd.4	RPL22
chr1	6101792	6180123	uc001amb.3	CHD5
chr1	180154833	180204030	uc001gnz.4	QSOX1
chr1	108746687	108809526	uc001dvy.4	STXBP3
chr1	6613684	6624033	uc001aob.5	PHF13
chr1	8011718	8026308	uc001aoz.4	ERRFI1
chr1	7954290	7985052	uc057byc.1	PARK7
chr1	109114000	109203229	uc021orb.2	KIAA1324
chr1	28812141	28871267	uc001brf.2	OPRD1
chr1	109620653	109632051	uc001dyc.3	AMPD2
chr1	29147742	29181987	uc001bro.4	SRSF4
chr1	29193816	29230932	uc001brq.3	MECR
chr1	110211472	110249124	uc001dzh.4	KCNC4
chr1	184690230	184754913	uc010pok.3	EDEM3
chr1	111439889	111449376	uc001ebb.4	WDR77
chr1	111448935	111462773	uc001ebc.4	ATP5F1
chr1	111542217	111713113	uc001ebi.4	RAP1A
chr1	32292085	32333635	uc001bvb.2	HDAC1
chr1	112619172	112671619	uc001ecj.2	CAPZA1
chr1	32817554	32858879	uc001bwc.5	S100PBP
chr1	32936444	32964685	uc010oho.3	RNF19B
chr1	155255978	155262259	uc001fjs.4	SCAMP3
chr1	33145401	33181666	uc001bxb.4	TRIM62
chr1	155336054	155562532	uc001fkt.4	ASH1L
chr1	34865435	34929585	uc057equ.1	DLGAP3
chr1	35182931	35193148	uc001bys.4	SFPQ
chr1	228735076	228746669	uc001htf.3	RHOU
chr1	155749716	155859400	uc057lsu.1	GON4L
chr1	155946850	155978160	uc001fmr.3	ARHGEF2
chr1	156054751	156058510	uc001fnb.4	LAMTOR2
chr1	156463726	156500828	uc001fpc.5	MEF2D
chr1	62455012	62688264	uc001dap.6	DOCK7
chr1	11054588	11060024	uc001arz.2	SRM
chr1	63547081	63550636	uc001dbg.2	DLEU2L
