#chrom	chromStart	chromEnd	clusterId	transcript	protein
chr1	169853073	169893959	4	uc001ggs.5	ENSG00000000457.13
chr1	169795048	169854080	5	uc001ggp.4	ENSG00000000460.16
chr1	27612063	27635277	6	uc001bom.4	ENSG00000000938.12
chr1	196651877	196747504	7	uc001gtj.4	ENSG00000000971.15
chr1	24357004	24413725	11	uc001bja.4	ENSG00000001460.17
chr1	24415793	24469307	12	uc001bjh.4	ENSG00000001461.16
chr1	33013043	33036992	49	uc001bwp.3	ENSG00000004455.16
chr1	23019447	23083689	52	uc001bgi.3	ENSG00000004487.15
chr1	54784550	54801198	140	uc001cxz.5	ENSG00000006555.10
chr1	112541789	112619189	179	uc001eci.4	ENSG00000007341.18
chr1	169722640	169734062	191	uc001ggm.5	ENSG00000007908.15
chr1	6634167	6701924	192	uc001aof.3	ENSG00000007923.15
chr1	171090876	171117819	193	uc001ghi.3	ENSG00000007933.12
chr1	23506429	23531220	196	uc001bhe.3	ENSG00000007968.6
chr1	209583716	209613938	201	uc001hhe.4	ENSG00000008118.9
chr1	1702880	1724324	202	uc009vks.4	ENSG00000008128.22
chr1	1751231	1778790	203	uc001aid.5	ENSG00000008130.15
chr1	114716916	114757964	231	uc001efk.4	ENSG00000009307.15
chr1	18631520	18748866	235	uc010oct.3	ENSG00000009709.11
chr1	11026522	11047223	236	uc001aru.4	ENSG00000009724.16
chr1	27725978	27763122	238	uc001boq.4	ENSG00000009780.15
chr1	209756048	209782315	239	uc001hho.5	ENSG00000009790.14
chr1	231338047	231355023	246	uc001hur.5	ENSG00000010072.15
chr1	171781701	171797717	247	uc001ghz.4	ENSG00000010165.19
chr1	41027201	41160898	270	uc057fhs.1	ENSG00000010803.16
chr1	171248470	171285978	273	uc009wvz.4	ENSG00000010932.15
chr1	23743471	23759893	274	uc057dgm.1	ENSG00000011007.12
chr1	23790969	23795539	275	uc001bht.4	ENSG00000011009.10
chr1	11806210	11843144	276	uc001ate.6	ENSG00000011021.21
chr1	149928653	149936898	352	uc001etl.5	ENSG00000014914.19
chr1	86468367	86500259	369	uc057ibt.1	ENSG00000016490.15
chr1	86547077	86580754	370	uc009wcs.4	ENSG00000016602.9
chr1	160115772	160143591	382	uc001fvc.4	ENSG00000018625.14
chr1	35557791	35566779	395	uc001bza.3	ENSG00000020129.15
chr1	24899517	24929877	400	uc001bjq.4	ENSG00000020633.18
chr1	56929209	56966015	411	uc001cyp.5	ENSG00000021852.12
chr1	193096467	193106114	428	uc001gta.3	ENSG00000023572.8
chr1	150149979	150160065	434	uc001ett.4	ENSG00000023902.13
chr1	93885204	93909410	435	uc001dqg.2	ENSG00000023909.9
chr1	68474151	68497221	438	uc001del.5	ENSG00000024526.16
chr1	32108037	32176568	449	uc001bug.4	ENSG00000025800.13
chr1	160739264	160754821	457	uc001fwq.5	ENSG00000026751.16
chr1	156840062	156859018	461	uc010pht.3	ENSG00000027644.4
chr1	156806242	156816862	464	uc001fqd.3	ENSG00000027869.11
chr1	12167002	12209228	466	uc001att.4	ENSG00000028137.16
chr1	109213917	109238120	488	uc001dwu.3	ENSG00000031698.12
chr1	69760174	70122243	498	uc001dep.4	ENSG00000033122.18
chr1	171635416	171652683	513	uc001ghu.4	ENSG00000034971.14
chr1	244408493	244452134	520	uc001iaj.4	ENSG00000035687.9
chr1	77564499	77682658	529	uc001dhq.4	ENSG00000036549.12
chr1	16246838	16352454	537	uc001ayg.4	ENSG00000037637.10
chr1	19312325	19329300	565	uc001bby.4	ENSG00000040487.12
chr1	6625191	6635586	577	uc001aoe.3	ENSG00000041988.15
chr1	215622893	216423396	587	uc001hku.1	ENSG00000042781.12
chr1	39841050	39883506	596	uc057fcv.1	ENSG00000043514.15
chr1	42153420	42155824	598	uc001chc.1	ENSG00000044012.3
chr1	186311651	186375325	618	uc001grv.4	ENSG00000047410.13
chr1	12230066	12512047	645	uc031tou.2	ENSG00000048707.13
chr1	40300486	40317294	649	uc001cfh.2	ENSG00000049089.13
chr1	9234774	9271337	653	uc001apt.4	ENSG00000049239.12
chr1	7771268	7781432	654	uc001aol.3	ENSG00000049245.12
chr1	7784702	7845177	655	uc057bxs.1	ENSG00000049246.14
chr1	7847765	7853431	656	uc001aos.4	ENSG00000049247.13
chr1	7915893	7943165	657	uc001aot.4	ENSG00000049249.8
chr1	70952431	71047788	680	uc001dfo.4	ENSG00000050628.20
chr1	114772774	114780677	697	uc001efo.5	ENSG00000052723.11
chr1	19303964	19312146	706	uc001bbw.4	ENSG00000053371.12
chr1	19251538	19260128	707	uc001bbs.4	ENSG00000053372.4
chr1	36136571	36149469	716	uc001bzx.5	ENSG00000054116.11
chr1	36224415	36305357	717	uc001cae.5	ENSG00000054118.13
chr1	235166894	235328217	721	uc001hwq.3	ENSG00000054267.20
chr1	241593123	241640361	722	uc001hza.4	ENSG00000054277.12
chr1	243256055	243500092	723	uc001hzw.4	ENSG00000054282.15
chr1	210328251	210676296	725	uc009xcx.3	ENSG00000054392.12
chr1	10210804	10377937	726	uc001aqw.5	ENSG00000054523.17
chr1	16367082	16398142	739	uc001aym.6	ENSG00000055070.16
chr1	85018081	85048446	749	uc001dkp.4	ENSG00000055732.12
chr1	179293801	179358680	768	uc001gml.4	ENSG00000057252.12
chr1	75796881	75913238	770	uc001dhd.3	ENSG00000057468.6
chr1	23778404	23788232	776	uc001bhq.4	ENSG00000057757.9
chr1	183186287	183244900	780	uc001gqa.3	ENSG00000058085.14
chr1	16921949	16972979	786	uc001azt.2	ENSG00000058453.16
chr1	203626560	203744081	788	uc001gzw.4	ENSG00000058668.14
chr1	203795705	203854124	789	uc001had.4	ENSG00000058673.15
chr1	53851719	53889814	791	uc001cvu.4	ENSG00000058799.13
chr1	53765459	53838860	792	uc001cvs.4	ENSG00000058804.11
chr1	234391312	234479103	799	uc001hwd.3	ENSG00000059588.9
chr1	26787994	26798398	814	uc001bmz.4	ENSG00000060642.10
chr1	29236515	29325661	815	uc001bru.4	ENSG00000060656.19
chr1	31259567	31296770	816	uc001bso.4	ENSG00000060688.12
chr1	102876466	103108491	818	uc001dul.4	ENSG00000060718.19
chr1	111755304	111768016	894	uc001ebs.4	ENSG00000064703.11
